name	Efflux	Chloramphenicol/Florfenicol	Sulfonamide	Fosfomycin	Quinolone	Beta-lactamase (not ESBL or carbapenemase)	Tetracycline	Streptomycin	Trimethoprim	Chloramphenicol	Gentamicin/Tobramycin/Apramycin	Other aminoglycoside resistance (non-RMT)	ESBL (AmpC type)	Gentamicin	Macrolide	ESBL	Colistin	Carbapenemase (MBL)	Rifamycin	Amikacin/Kanamycin/Tobramycin/Quinolone	Kanamycin	Lincosamides	Other antimicrobial
SRR7998201	mdsA*,mdsB*	floR*	sul2,sul3	fosA7.2	qnrS1	blaTEM-1	tet(A)*	aph(6)-Id															
SRR4419666	mdsA,mdsB																						
ISLHD_2019_28	mdsA,mdsB		sul2			blaTEM-1	tet(B)	aph(3'')-Ib,aph(6)-Id															
SRR14144466	mdsA,mdsB																						
SRR14144317	mdsA,mdsB																						
W_1_C11	mdsA*,mdsB*			fosA7																			
ERR2992794	mdsA*,mdsB*																						
ISLHD_2019_22	mdsA*,mdsB*																						
W_1_E11	mdsA*,mdsB*			fosA7																			
ERR2992779	mdsA*,mdsB*																						
SRR14144279	mdsA,mdsB																						
SRR7841404	mdsA*,mdsB*																						
SRR10968170	mdsA*,mdsB*																						
SRR14143194	mdsA,mdsB																						
SRR1968955	mdsA*,mdsB*		sul3	fosA7.2	qnrS1	blaTEM-1	tet(A)*	aph(3'')-Ib,aph(6)-Id	dfrA14														
Seagull_18_90_1_S9	mdsA,mdsB																						
SRR14347851	mdsA*,mdsB*			fosA7.2																			
MD_6_B11	mdsA,mdsB																						
SRR3476810	mdsA,mdsB																						
SG19_269_Sal	mdsA*,mdsB*																						
SRR7416357	mdsA*,mdsB*		sul3	fosA7.2	qnrS1	blaTEM-1	tet(A)*	aph(3'')-Ib,aph(6)-Id	dfrA14														
ISLHD_2017_4_S118	mdsA*,mdsB*		sul3			blaTEM-1	tet(A)*,tet(M)*	aadA1,aadA2	dfrA12	cmlA1													
SRR4419684	mdsA,mdsB																						
MD_6_E10	mdsA*,mdsB*																						
SRR1645496	mdsA,mdsB						tet(A)																
SRR3476794	mdsA,mdsB																						
SRR4419673	mdsA,mdsB																						
SRR14145184	mdsA,mdsB																						
SRR7426956	mdsA*,mdsB*			fosA7.2	qnrS1		tet(A)*	aph(3'')-Ib,aph(6)-Id	dfrA14														
ERR2992792	mdsA*,mdsB*																						
SRR14143690	mdsA*,mdsB*			fosA7.2	qnrS1		tet(A)*		dfrA14														
ERR2992800	mdsA*,mdsB*																						
SRR1645499	mdsA,mdsB						tet(A)																
Seagull_18_132_1_S29	mdsA*,mdsB*																						
MD_6_C8	mdsA*,mdsB																						
SRR3476845	mdsA,mdsB																						
SIML_2017_14	mdsA*,mdsB*		sul3		gyrA_D87N,gyrA_S83F,parC_S80I	blaTEM-1		aadA1,aadA2		cmlA1	aac(3)-IVa	aph(4)-Ia											
SRR14144439	mdsA,mdsB																						
SRR7274986	mdsA*,mdsB*			fosA7.2																			
MD_7_D2	mdsA,mdsB																						
ISLHD_2019_03	mdsA*,mdsB*			fosA7																			
ERR2992819	mdsA*,mdsB*																						
MD_6_G8	mdsA,mdsB																						
MD_7_F2	mdsA*,mdsB*																						
SRR14144384	mdsA,mdsB																						
SRR14144457	mdsA,mdsB																						
ISLHD_2019_02	mdsA,mdsB																						
SRR14144375	mdsA,mdsB																						
SRR14334838	mdsA*,mdsB*			fosA7.2																			
SRR14144084	mdsA,mdsB																						
SRR14143183	mdsA,mdsB																						
SRR14144453	mdsA,mdsB																						
SRR7468919	mdsA*,mdsB*		sul3	fosA7.2	qnrS1	blaTEM-1	tet(A)*	aph(3'')-Ib,aph(6)-Id	dfrA14														
SRR7351456	mdsA*,mdsB*		sul3	fosA7.2	qnrS1	blaTEM-1	tet(A)*	aph(3'')-Ib,aph(6)-Id	dfrA14														
ISLHD_2019_27	mdsA*,mdsB*																						
MD_6_C9	mdsA*,mdsB*																						
MD_6_H9	mdsA*,mdsB*																						
MD_6_B9	mdsA,mdsB					blaTEM-1																	
ISLHD_2019_08	mdsA*,mdsB																						
SRR14144425	mdsA,mdsB																						
MD_6_D11	mdsA,mdsB																						
MD_7_E2	mdsA*,mdsB*																						
ISLHD_2017_5_S77	mdsA*,mdsB*			fosA7																			
SRR4419686	mdsA,mdsB																						
SG19_288_Sal	mdsA*,mdsB*																						
ERR2992799	mdsA*,mdsB*																						
SRR8715615	mdsA,mdsB																						
SRR3476830	mdsA,mdsB																						
ERR2992778	mdsA*,mdsB*																						
SRR10900174	mdsA*,mdsB*		sul3	fosA7.2	qnrS1	blaTEM-1	tet(A)*	aph(3'')-Ib,aph(6)-Id	dfrA14														
SRR14143200	mdsA,mdsB																						
ERR2173667	mdsA*,mdsB*		sul3	fosA7.2	qnrS1	blaTEM-1	tet(A)*	aph(3'')-Ib,aph(6)-Id	dfrA14														
SRR14144442	mdsA,mdsB																						
SRR14144446	mdsA,mdsB																						
SRR14144479	mdsA,mdsB																						
Seagull_18_96_1_S14	mdsA*,mdsB*																						
SG19_397_Sal	mdsA*,mdsB*	floR			gyrA_S83F	blaCARB-2	tet(G)		dfrA1														
MD_6_F12	mdsA*,mdsB*																						
SRR7292963	mdsA*,mdsB*		sul3	fosA7.2	qnrS1	blaTEM-1	tet(A)*	aph(3'')-Ib,aph(6)-Id	dfrA14														
SRR7451162	mdsA*,mdsB*	floR*		fosA7.2	qnrS1		tet(A)*	aph(3'')-Ib,aph(6)-Id					blaCMY-2										
ERR2992811	mdsA*,mdsB*																						
ISLHD_2019_10	mdsA*,mdsB*																						
SRR8142798	mdsA*,mdsB*		sul3	fosA7.2	qnrS1	blaTEM-1	tet(A)*	aph(3'')-Ib,aph(6)-Id	dfrA14														
SRR14142982	mdsA*,mdsB*																						
SRR14144624	mdsA,mdsB																						
SG19_116_05_E_coli	mdsA*,mdsB*																						
Seagull_18_154_S34	mdsA*,mdsB*		sul1		qnrB2	blaOXA-1,blaTEM-1	tet(D)	aph(3'')-Ib,aph(6)-Id	dfrA19	catB3				aac(3)-IId	mph(A)	blaSHV-12	mcr-9	blaIMP-4	arr-3	aac(6')-Ib-cr5			
ERR2992766	mdsA*,mdsB*																						
SRR14145386	mdsA,mdsB																						
SRR7444218	mdsA*,mdsB*		sul3	fosA7.2	qnrS1	blaTEM-1	tet(A)*	aph(3'')-Ib,aph(6)-Id	dfrA14														
SRR3476809	mdsA,mdsB																						
SIML_2017_22	mdsA,mdsB																						
Seagull_18_132_2_S30	mdsA*,mdsB*																						
SRR7884502	mdsA*,mdsB*		sul3	fosA7.2	qnrS1	blaTEM-1	tet(A)*	aph(3'')-Ib,aph(6)-Id	dfrA14														
SRR4419679	mdsA,mdsB																						
ERR2992816	mdsA*,mdsB*																						
MD_6_F11	mdsA*,mdsB*																						
MD_7_H2	mdsA*,mdsB*																						
ERR2992815	mdsA*,mdsB*																						
SRR14145156	mdsA,mdsB																						
SRR8369269	mdsA*,mdsB*																						
MD_6_G11	mdsA*,mdsB*																						
MD_6_F9	mdsA*,mdsB*																						
ERR2992773	mdsA*,mdsB*																						
SG19_327_Sal	mdsA*,mdsB*																						
Seagull_18_206_S47	mdsA,mdsB																						
SRR1645497	mdsA,mdsB						tet(A)																
SRR14144324	mdsA,mdsB																						
SIML_2019_04	mdsA*,mdsB*				gyrA_D87Y									aac(3)-IId									
SRR8839601	mdsA,mdsB																						
ERR2992801	mdsA*,mdsB*																						
