"Lab_Contact_Lowercase"	"Lab Contact"	"counts"
"public health england"	"Public Health England"	55345
"pulsenet next generation subtyping methods unit"	"PulseNet Next Generation Subtyping Methods Unit"	37037
"fda center for food safety and applied nutrition"	"FDA Center for Food Safety and Applied Nutrition"	25152
"f.x.weill, institut pasteur"	"F.X.Weill, Institut Pasteur"	21943
"usda fsis"	"USDA FSIS"	21138
"centers for disease control and prevention enteric diseases laboratory branch"	"Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch"	18446
"food and drug administration - center for food safety and applied nutrition (us)"	"Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)"	13286
"united states department of agriculture, food safety and inspection service"	"United States Department of Agriculture, Food Safety and Inspection Service"	12393
"the wellcome trust sanger institute"	"The Wellcome Trust Sanger Institute"	10179
"m. achtman"	"M. Achtman"	9839
"national microbiology laboratory"	"National Microbiology Laboratory"	9647
"d. brown (scotland)"	"D. Brown (Scotland)"	6383
"public health england - gastrointestinal bacteria reference unit"	"Public Health England - Gastrointestinal Bacteria Reference Unit"	4119
"gastrointestinal bacteria reference unit, public health england"	"Gastrointestinal Bacteria Reference Unit, Public Health England"	4043
"ei"	"EI"	4025
"anthony smith, nicd"	"Anthony Smith, NICD"	3495
"fda/cfsan"	"FDA/CFSAN"	3051
"fda-cvm"	"FDA-CVM"	2881
"microbiological diagnostics unit"	"Microbiological Diagnostics Unit"	2838
"centers for disease control and prevention - pulsenet"	"Centers for Disease Control and Prevention - PulseNet"	2288
"fda"	"FDA"	2131
"public health agency of canada"	"Public Health Agency of Canada"	1745
"federal institute for risk assessment (bfr)"	"FEDERAL INSTITUTE FOR RISK ASSESSMENT (BFR)"	1596
"food and drug administration (us)"	"Food and Drug Administration (US)"	1574
"university of california davis - 100k genome project"	"University of California Davis - 100K Genome Project"	1297
"department of agriculture - food safety and inspection service (us)"	"Department of Agriculture - Food Safety and Inspection Service (US)"	1279
"wellcome sanger institute"	"Wellcome Sanger Institute"	1152
"cfsan"	"CFSAN"	1013
"statens serum institut"	"STATENS SERUM INSTITUT"	938
"university hospital galway"	"University Hospital Galway"	918
"sc"	"SC"	915
"pulsenet"	"PulseNet"	910
"centre for genomic epidemiology, national food institute, technical university of denmark (dtu), denmark"	"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark"	847
"center for diease control and prevention - enteric diseases laboratory branch (us)"	"Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)"	832
"anses"	"ANSES"	767
"ny state dept. of health, wadsworth center"	"NY State Dept. of Health, Wadsworth Center"	682
"christian medical college"	"CHRISTIAN MEDICAL COLLEGE"	678
"quadram institute bioscience"	"Quadram Institute Bioscience"	610
"unietar"	"UNIETAR"	578
"pulsenet"	"Pulsenet"	530
"apha"	"APHA"	514
"centers for disease control, taiwan"	"Centers for Disease Control, Taiwan"	509
"fondation merieux"	"Fondation Merieux"	484
"istituto zooprofilattico sperimentale delle venezie"	"ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLE VENEZIE"	477
"public health agency of canada"	"Public Health Agency Of Canada"	476
"institute of environmental science and research"	"Institute of Environmental Science and Research"	456
"national institute of infectious diseases - japan"	"National Institute of Infectious Diseases - Japan"	454
"the new mexico state university food safety laboratory genometrakr submission group"	"The New Mexico State University Food Safety Laboratory GenomeTrakr submission group"	445
"nsw health pathology - cidm-ph, icpmr"	"NSW Health Pathology - CIDM-PH, ICPMR"	436
"georgia department of public health lab"	"Georgia Department of Public Health Lab"	414
"niph"	"NIPH"	413
"texas a&m university, college of veterinary medicine and biomedical sciences"	"Texas A&M University, College of Veterinary Medicine and Biomedical Sciences"	402
"cornell university"	"Cornell University"	396
"robert koch-institute"	"ROBERT KOCH-INSTITUTE"	392
"us food and drug administration"	"US Food and Drug Administration"	365
"university of california at davis 100k pathogen genome project"	"University of California at Davis 100K Pathogen Genome Project"	363
"laboratory for foodborne zoonoses"	"Laboratory for Foodborne Zoonoses"	347
"pulsenet next generation subtyping"	"PulseNet Next Generation Subtyping"	347
"university of new south wales"	"University of New South Wales"	339
"technical university of denmark"	"Technical University of Denmark"	338
"dudleylab|pennstateuniversity"	"DudleyLab|PennStateUniversity"	309
"senasica"	"SENASICA"	308
"the german federal institute for risk assessment (bfr)"	"The German Federal Institute for Risk Assessment (BfR)"	298
"niph czechia"	"NIPH Czechia"	296
"p. alba"	"P. Alba"	282
"joy waite-cusic"	"Joy Waite-Cusic"	281
"cdc"	"CDC"	265
"university of washington, department of microbiology, miller laboratory"	"University of Washington, Department of Microbiology, Miller Laboratory"	264
"uc san diego"	"UC San Diego"	263
"usda animal plant health inspection service-national veterinary services laboratories - dbpl"	"USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories - DBPL"	256
"wencheng zhang"	"wencheng Zhang"	250
"qld health"	"QLD Health"	245
"california department of public health"	"California Department of Public Health"	244
"keri norman's shared submissions"	"Keri Norman's shared submissions"	240
"public health england (m.chattaway)"	"Public Health England (M.Chattaway)"	235
"thomas denes"	"Thomas Denes"	232
"lshtm"	"LSHTM"	230
"national institute of public health - national institute of hygiene"	"National Institute of Public Health - National Institute of Hygiene"	214
"egle kudirkiene (university of copenhagen)"	"Egle Kudirkiene (University of Copenhagen)"	211
"pasteur"	"PASTEUR"	211
"laboratoire national de sant�"	"Laboratoire National de Sant�"	197
"university of copenhagen"	"UNIVERSITY OF COPENHAGEN"	197
"university of liverpool"	"University of Liverpool"	196
"charlotte chan"	"Charlotte Chan"	193
"agricultural research service, united states department of agriculture"	"Agricultural Research Service, United States Department of Agriculture"	191
"bavarian health and food safety authority"	"Bavarian Health and Food Safety Authority"	191
"usda"	"USDA"	186
"canadian food inspection agency"	"Canadian Food Inspection Agency"	184
"yangzhou university"	"YANGZHOU UNIVERSITY"	184
"animal and plant health agency (apha)"	"Animal and Plant Health Agency (APHA)"	183
"nvri"	"NVRI"	182
"mark holmes"	"Mark Holmes"	177
"zhejiang university"	"Zhejiang University"	176
"naga"	"Naga"	174
"qinning wang, cidm-public health, icpmr, nsw health pathology"	"Qinning Wang, CIDM-Public Health, ICPMR, NSW Health Pathology"	172
"food safety and inspection service (us)"	"Food Safety and Inspection Service (US)"	168
"robert koch institute"	"ROBERT KOCH INSTITUTE"	166
"dr liljana petrovska"	"Dr Liljana Petrovska"	165
"shea fanning, ucd"	"Shea Fanning, UCD"	163
"anses lsal"	"ANSES LSAL"	160
"central research institute for epidemiology"	"Central Research Institute for Epidemiology"	159
"genometrakr project: sdsu veterinary & biomedical sciences"	"GenomeTrakr Project: SDSU Veterinary & Biomedical Sciences"	156
"nsslrl"	"NSSLRL"	155
"norwegian institute of public health"	"NORWEGIAN INSTITUTE OF PUBLIC HEALTH"	151
"tokyo univetsity of agriculture"	"Tokyo Univetsity of Agriculture"	150
"m. cummins (uts, sydney)"	"M. Cummins (UTS, Sydney)"	149
"university of liverpool"	"UNIVERSITY OF LIVERPOOL"	147
"jay hinton"	"Jay Hinton"	145
"laboratoire de sante publique du quebec"	"Laboratoire de sante publique du Quebec"	145
"izsler"	"IZSLER"	143
"public health england (m. chattaway)"	"Public Health England (M. Chattaway)"	143
"sichuan university"	"Sichuan University"	140
"craig parker, usda ars"	"Craig Parker, USDA ARS"	137
"utrecht university"	"UTRECHT UNIVERSITY"	135
"genometrakr project: thakur molecular epidemiology laboratory, nc state university"	"GenomeTrakr Project: Thakur Molecular Epidemiology Laboratory, NC State University"	133
"dudley lab"	"Dudley Lab"	131
"microbiological diagnostic unit public health laboratory"	"Microbiological Diagnostic Unit Public Health Laboratory"	130
"food and drug administration, center for food safety and applied nutrition"	"FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION"	129
"netherlands food and consumer product safety authority"	"Netherlands Food and Consumer Product Safety Authority"	129
"university of helsinki"	"University of Helsinki"	128
"food and drug administration-college park"	"Food and Drug Administration-College Park"	124
"national institute of health dr. ricardo jorge"	"NATIONAL INSTITUTE OF HEALTH DR. RICARDO JORGE"	123
"ciad"	"CIAD"	122
"national institute of health"	"National Institute of Health"	122
"microbiological diagnostic unit"	"Microbiological Diagnostic Unit"	121
"nkuchia mikanatha"	"Nkuchia Mikanatha"	118
