name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
ISLHD_2018_12_S101	Salmonella enterica	28901	S	79	3	82	0.75926
ISLHD_2018_12_S101	Escherichia coli	562	S	14	11	25	0.23148
MD_6_B8	Salmonella enterica	28901	S	67	10	77	1.0
ISLHD_2017_12_S83	Salmonella enterica	28901	S	46	3	49	1.0
ISLHD_2019_29	Salmonella enterica	28901	S	41	1	42	1.0
SIML_2019_05	Salmonella enterica	28901	S	74	6	80	1.0
Seagull_18_229_S54	Citrobacter sp. FDAARGOS_156	1702170	S	27	3	30	0.53571
Seagull_18_229_S54	Citrobacter freundii	546	S	7	-3	4	0.07143
Seagull_18_229_S54	Citrobacter werkmanii	67827	S	7	0	7	0.125
Seagull_18_229_S54	Citrobacter freundii complex sp. CFNIH3	2077147	S	4	10	14	0.25
Seagull_18_138_2_S33	Citrobacter sp. FDAARGOS_156	1702170	S	19	10	29	1.0
ISLHD_2019_16	Salmonella enterica	28901	S	80	21	101	1.0
ISLHD_2019_27	Salmonella enterica	28901	S	34	10	44	1.0
SG19_400_Sal	Salmonella enterica	28901	S	70	3	73	1.0
Seagull_18_100_2_S17	Salmonella enterica	28901	S	84	24	108	1.0
SIML_2019_06	Salmonella enterica	28901	S	33	5	38	1.0
Seagull_18_93_S12	Hafnia alvei	569	S	1068	9	1077	0.88424
Seagull_18_93_S12	Obesumbacterium proteus	82983	S	5	-3	2	0.00164
Seagull_18_93_S12	Salmonella enterica	28901	S	77	53	130	0.10673
Seagull_18_93_S12	Citrobacter freundii	546	S	5	-2	3	0.00246
Seagull_18_93_S12	Pluralibacter gergoviae	61647	S	6	-1	5	0.00411
Seagull_18_93_S12	Escherichia coli	562	S	5	-5	0	0.0
MD_7_A2	Salmonella enterica	28901	S	69	10	79	1.0
SIML_2019_14	Salmonella enterica	28901	S	41	10	51	1.0
ISLHD_2017_17_S88	Salmonella enterica	28901	S	48	1	49	1.0
ISLHD_2019_15	Salmonella enterica	28901	S	68	10	78	1.0
Seagull_18_248_S64	Proteus mirabilis	584	S	64	3	67	0.77907
Seagull_18_248_S64	Providencia stuartii	588	S	9	3	12	0.13953
Seagull_18_248_S64	Escherichia coli	562	S	5	1	6	0.06977
SIML_2017_01	Salmonella enterica	28901	S	872	106	978	1.0
ISLHD_2019_14	Salmonella enterica	28901	S	63	18	81	1.0
W_1_E11	Salmonella enterica	28901	S	51	5	56	1.0
ISLHD_2017_1_S76	Salmonella enterica	28901	S	39	13	52	1.0
SG19_284_Sal	Salmonella enterica	28901	S	55	13	68	1.0
MD_6_D11	Salmonella enterica	28901	S	63	9	72	1.0
Seagull_18_216_S51	Proteus mirabilis	584	S	80	0	80	1.0
Seagull_18_40_S3	Serratia liquefaciens	614	S	43	5	48	0.87273
Seagull_18_40_S3	Serratia sp. FS14	1327989	S	4	2	6	0.10909
Seagull_18_40_S3	Enterobacter cloacae	550	S	13	-13	0	0.0
SG19_084_Sal	Salmonella enterica	28901	S	41	15	56	0.98246
SG19_084_Sal	Escherichia coli	562	S	4	-4	0	0.0
MD_6_A10	Salmonella enterica	28901	S	40	6	46	1.0
MD_7_C2	Salmonella enterica	28901	S	68	18	86	0.92473
MD_7_C2	Escherichia coli	562	S	4	2	6	0.06452
Seagull_18_96_1_S14	Salmonella enterica	28901	S	41	5	46	1.0
Seagull_18_183_S41	Proteus mirabilis	584	S	44	2	46	1.0
Seagull_18_262_S113	Enterobacter bugandensis	881260	S	23	15	38	1.0
Seagull_18_252_S67	Hafnia alvei	569	S	52	11	63	1.0
W_1_H11	Salmonella enterica	28901	S	88	10	98	1.0
MD_6_F11	Salmonella enterica	28901	S	122	11	133	1.0
