name	perc_frags	num_frags	num_frags_direct	rank	ncbi_taxon_id	scientific_name
Seagull_18_216_S51	100.00	80	55	S	584	                Proteus mirabilis
SIML_2017_20	 99.39	3447	2380	S	28901	                Salmonella enterica
Seagull_18_260_S72	 98.94	93	61	S	584	                Proteus mirabilis
Seagull_18_261_S73	 98.82	84	54	S	584	                Proteus mirabilis
Seagull_18_34_S2	 98.70	76	52	S	584	                Proteus mirabilis
Seagull_18_238_S57	 98.53	67	45	S	584	                Proteus mirabilis
Seagull_18_205_S108	 98.41	62	37	S	584	                Proteus mirabilis
Seagull_18_240_2_S59	 97.92	94	31	S	28901	                Salmonella enterica
Seagull_18_210_S49	 97.92	94	67	S	584	                Proteus mirabilis
SIML_2019_10	 97.50	39	17	S	28901	                Salmonella enterica
SIML_2019_03	 97.44	76	17	S	28901	                Salmonella enterica
Seagull_18_70_S6	 97.40	75	52	S	584	                Proteus mirabilis
SIML_2019_09	 97.37	37	16	S	28901	                Salmonella enterica
Seagull_18_117_2_S22	 97.30	72	22	S	28901	                Salmonella enterica
Seagull_18_241_S111	 97.18	69	57	S	584	                Proteus mirabilis
Seagull_18_263_S114	 97.10	67	44	S	584	                Proteus mirabilis
Seagull_18_235_S56	 97.01	65	43	S	584	                Proteus mirabilis
Seagull_18_160_S36	 96.72	59	34	S	584	                Proteus mirabilis
Seagull_18_256_S69	 96.43	81	43	S	584	                Proteus mirabilis
Seagull_18_196_S44	 96.32	1124	999	S	584	                Proteus mirabilis
Seagull_18_206_S47	 96.10	74	22	S	28901	                Salmonella enterica
Seagull_18_117_3_S23	 96.10	74	22	S	28901	                Salmonella enterica
Seagull_18_267_S75	 96.00	120	78	S	584	                Proteus mirabilis
Seagull_18_163_1_S37	 96.00	72	22	S	28901	                Salmonella enterica
Seagull_18_90_1_S9	 95.95	71	22	S	28901	                Salmonella enterica
Seagull_18_90_2_S10	 95.89	70	22	S	28901	                Salmonella enterica
Seagull_18_255_S68	 95.74	90	30	S	28901	                Salmonella enterica
ISLHD_2018_17_S106	 95.65	88	19	S	28901	                Salmonella enterica
Seagull_18_246_S63	 95.56	86	50	S	584	                Proteus mirabilis
Seagull_18_240_1_S58	 95.56	86	29	S	28901	                Salmonella enterica
Seagull_18_87_S7	 95.45	42	24	S	584	                Proteus mirabilis
Seagull_18_245_S62	 95.45	84	41	S	584	                Proteus mirabilis
ISLHD_2019_29	 95.35	41	18	S	28901	                Salmonella enterica
Seagull_18_118_S24	 95.28	101	73	S	584	                Proteus mirabilis
SIML_2017_15	 94.74	36	17	S	28901	                Salmonella enterica
Seagull_18_117_1_S21	 94.67	71	21	S	28901	                Salmonella enterica
SIML_2019_04	 94.44	34	15	S	28901	                Salmonella enterica
Seagull_18_190_1_S42	 94.29	66	21	S	28901	                Salmonella enterica
Seagull_18_266_S74	 94.20	65	42	S	584	                Proteus mirabilis
SIML_2017_07	 94.12	32	15	S	28901	                Salmonella enterica
Seagull_18_165_S107	 93.94	62	21	S	28901	                Salmonella enterica
Seagull_18_172_S40	 93.83	76	22	S	28901	                Salmonella enterica
Seagull_18_213_S50	 93.81	91	50	S	584	                Proteus mirabilis
Seagull_18_183_S41	 93.62	44	16	S	584	                Proteus mirabilis
ISLHD_2019_23	 93.55	58	21	S	28901	                Salmonella enterica
ISLHD_2018_14_S103	 93.55	58	19	S	28901	                Salmonella enterica
SG19_400_Sal	 93.33	70	27	S	28901	                Salmonella enterica
SIML_2019_02	 93.22	55	15	S	28901	                Salmonella enterica
ISLHD_2018_3_S92	 93.20	96	45	S	28901	                Salmonella enterica
Seagull_18_166_S39	 93.18	82	44	S	584	                Proteus mirabilis
ISLHD_2017_9_S80	 92.77	77	35	S	28901	                Salmonella enterica
Seagull_18_220_S109	 92.75	64	20	S	28901	                Salmonella enterica
Seagull_18_190_2_S43	 92.41	73	25	S	28901	                Salmonella enterica
ISLHD_2018_7_S96	 92.39	85	40	S	28901	                Salmonella enterica
SIML_2017_06	 92.31	60	26	S	28901	                Salmonella enterica
ISLHD_2017_17_S88	 92.31	48	16	S	28901	                Salmonella enterica
ISLHD_2018_5_S94	 92.16	47	22	S	28901	                Salmonella enterica
SIML_2017_16	 92.11	35	17	S	28901	                Salmonella enterica
Seagull_18_8_S1	 92.11	35	35	S	67827	                  Citrobacter werkmanii
Seagull_18_163_2_S38	 92.11	70	23	S	28901	                Salmonella enterica
ISLHD_2017_15_S86	 92.11	35	17	S	28901	                Salmonella enterica
ISLHD_2018_16_S105	 92.00	69	27	S	28901	                Salmonella enterica
SG19_238_Sal	 91.93	148	48	S	28901	                Salmonella enterica
ISLHD_2018_11_S100	 91.92	91	49	S	28901	                Salmonella enterica
ISLHD_2018_4_S93	 91.89	34	15	S	28901	                Salmonella enterica
MD_6_F11	 91.73	122	56	S	28901	                Salmonella enterica
W_1_G11	 91.67	33	13	S	28901	                Salmonella enterica
SIML_2019_05	 91.36	74	27	S	28901	                Salmonella enterica
ISLHD_2017_11_S82	 91.27	115	56	S	28901	                Salmonella enterica
ISLHD_2018_13_S102	 91.23	52	29	S	28901	                Salmonella enterica
ISLHD_2018_10_S99	 91.21	83	34	S	28901	                Salmonella enterica
ISLHD_2018_1_S90	 91.11	82	40	S	28901	                Salmonella enterica
SG19_233_Sal	 90.91	60	20	S	28901	                Salmonella enterica
ISLHD_2017_5_S77	 90.91	80	22	S	28901	                Salmonella enterica
MD_6_F9	 90.59	77	17	S	28901	                Salmonella enterica
ISLHD_2017_13_S84	 90.38	47	16	S	28901	                Salmonella enterica
ISLHD_2017_14_S85	 90.32	56	11	S	28901	                Salmonella enterica
ISLHD_2017_12_S83	 90.20	46	16	S	28901	                Salmonella enterica
ISLHD_2017_16_S87	 90.12	73	30	S	28901	                Salmonella enterica
SIML_2019_15	 90.00	45	17	S	28901	                Salmonella enterica
ISLHD_2019_21	 90.00	72	28	S	28901	                Salmonella enterica
ISLHD_2019_02	 89.97	296	176	S	28901	                Salmonella enterica
W_1_H11	 89.80	88	17	S	28901	                Salmonella enterica
ISLHD_2019_18	 89.80	44	17	S	28901	                Salmonella enterica
ISLHD_2017_8_S79	 89.80	44	13	S	28901	                Salmonella enterica
SIML_2017_23	 89.74	70	36	S	28901	                Salmonella enterica
ISLHD_2018_9_S98	 89.74	70	30	S	28901	                Salmonella enterica
W_1_C11	 89.66	52	16	S	28901	                Salmonella enterica
SG19_334_Sal	 89.66	52	15	S	28901	                Salmonella enterica
SG19_171_Sal	 89.55	60	25	S	28901	                Salmonella enterica
W_1_E11	 89.47	51	13	S	28901	                Salmonella enterica
SG19_380_Sal	 89.47	68	27	S	28901	                Salmonella enterica
ISLHD_2018_15_S104	 89.47	51	24	S	28901	                Salmonella enterica
MD_6_D10	 89.39	59	24	S	28901	                Salmonella enterica
MD_7_G2	 89.36	42	17	S	28901	                Salmonella enterica
SIML_2017_03	 89.02	73	36	S	28901	                Salmonella enterica
ISLHD_2019_06	 88.89	64	27	S	28901	                Salmonella enterica
MD_6_F10	 88.73	63	27	S	28901	                Salmonella enterica
SG19_116_Sal	 88.33	53	19	S	28901	                Salmonella enterica
MD_6_H11	 88.31	68	30	S	28901	                Salmonella enterica
ISLHD_2019_03	 88.24	45	17	S	28901	                Salmonella enterica
ISLHD_2018_2_S91	 88.24	45	15	S	28901	                Salmonella enterica
SIML_2017_01	 88.17	872	647	S	28901	                Salmonella enterica
Seagull_18_217_S52	 88.14	52	31	S	584	                Proteus mirabilis
SIML_2019_12	 88.10	37	17	S	28901	                Salmonella enterica
SG19_116_05_E_coli	 88.06	59	20	S	28901	                Salmonella enterica
ISLHD_2017_10_S81	 87.93	51	25	S	28901	                Salmonella enterica
MD_7_D2	 87.84	65	26	S	28901	                Salmonella enterica
MD_6_E11	 87.84	65	26	S	28901	                Salmonella enterica
MD_6_B11	 87.84	65	28	S	28901	                Salmonella enterica
SIML_2017_22	 87.80	72	34	S	28901	                Salmonella enterica
SIML_2017_02	 87.76	43	18	S	28901	                Salmonella enterica
ISLHD_2019_11	 87.64	78	19	S	28901	                Salmonella enterica
ISLHD_2019_04	 87.50	63	20	S	28901	                Salmonella enterica
ISLHD_2018_8_S97	 87.50	49	26	S	28901	                Salmonella enterica
Seagull_18_96_1_S14	 87.23	41	15	S	28901	                Salmonella enterica
ISLHD_2019_19	 87.23	41	14	S	28901	                Salmonella enterica
SIML_2019_07	 87.18	34	14	S	28901	                Salmonella enterica
ISLHD_2019_15	 87.18	68	28	S	28901	                Salmonella enterica
Seagull_18_254_S112	 87.10	27	18	S	569	                Hafnia alvei
ISLHD_2019_05	 87.04	47	19	S	28901	                Salmonella enterica
SIML_2017_18	 87.01	67	30	S	28901	                Salmonella enterica
MD_6_A10	 86.96	40	15	S	28901	                Salmonella enterica
MD_7_F1	 86.90	73	33	S	28901	                Salmonella enterica
SIML_2019_06	 86.84	33	13	S	28901	                Salmonella enterica
MD_7_B2	 86.84	66	26	S	28901	                Salmonella enterica
MD_7_A1	 86.84	66	27	S	28901	                Salmonella enterica
MD_6_G9	 86.84	66	26	S	28901	                Salmonella enterica
MD_6_G10	 86.84	66	28	S	28901	                Salmonella enterica
MD_6_C10	 86.84	66	27	S	28901	                Salmonella enterica
Seagull_18_244_S61	 86.75	72	48	S	584	                Proteus mirabilis
MD_6_D8	 86.49	64	28	S	28901	                Salmonella enterica
MD_6_A9	 86.42	70	29	S	28901	                Salmonella enterica
MD_6_A8	 86.42	70	29	S	28901	                Salmonella enterica
Seagull_18_242_S60	 86.36	38	27	S	569	                Hafnia alvei
MD_6_D11	 86.30	63	29	S	28901	                Salmonella enterica
Seagull_18_96_2_S15	 86.27	44	17	S	28901	                Salmonella enterica
MD_7_A2	 86.25	69	29	S	28901	                Salmonella enterica
MD_6_G8	 86.25	69	31	S	28901	                Salmonella enterica
ISLHD_2019_10	 86.05	37	15	S	28901	                Salmonella enterica
SIML_2017_19	 85.92	61	25	S	28901	                Salmonella enterica
MD_6_B8	 85.90	67	27	S	28901	                Salmonella enterica
ISLHD_2019_26	 85.86	1360	930	S	28901	                Salmonella enterica
ISLHD_2017_2_S116	 85.71	42	7	S	28901	                Salmonella enterica
Seagull_18_93_S12	 85.51	1068	1048	S	569	                Hafnia alvei
