name	pMLST_scheme	pMLST
ERR2023110	IncF RST	S1:A-:B17
ERR2173667	IncF RST	F-:A-:B-
ERR2193140	IncF RST	F-:A-:B-
ERR2215165	IncF RST	S1:A-:B17
ERR2992745	IncF RST	F-:A-:B-
ERR2992747	IncF RST	F-:A-:B-
ERR2992748	IncF RST	F-:A-:B-
ERR2992750	IncF RST	F-:A-:B-
ERR2992751	IncF RST	F-:A-:B-
ERR2992753	IncF RST	F-:A-:B-
ERR2992754	IncF RST	F-:A-:B-
ERR2992755	IncF RST	F-:A-:B-
ERR2992757	IncF RST	F-:A-:B-
ERR2992758	IncF RST	F-:A-:B-
ERR2992759	IncF RST	F-:A-:B-
ERR2992760	IncF RST	F-:A-:B-
ERR2992762	IncF RST	F-:A-:B-
ERR2992763	IncF RST	F-:A-:B-
ERR2992764	IncF RST	F104:A-:B-
ERR2992766	IncF RST	F-:A-:B-
ERR2992767	IncF RST	F-:A-:B-
ERR2992768	IncF RST	F-:A-:B-
ERR2992770	IncF RST	F-:A-:B-
ERR2992772	IncF RST	F-:A-:B-
ERR2992773	IncF RST	F-:A-:B-
ERR2992774	IncF RST	F-:A-:B-
ERR2992775	IncF RST	F-:A-:B-
ERR2992776	IncF RST	F-:A-:B-
ERR2992777	IncF RST	F-:A-:B-
ERR2992778	IncF RST	F-:A-:B-
ERR2992779	IncF RST	F-:A-:B-
ERR2992780	IncF RST	F-:A-:B-
ERR2992781	IncF RST	F-:A-:B-
ERR2992782	IncF RST	F-:A-:B-
ERR2992783	IncF RST	F-:A-:B-
ERR2992786	IncF RST	F-:A-:B-
ERR2992789	IncF RST	F-:A-:B-
ERR2992790	IncF RST	F-:A-:B-
ERR2992791	IncF RST	F-:A-:B-
ERR2992792	IncF RST	F-:A-:B-
ERR2992793	IncF RST	F-:A-:B-
ERR2992794	IncF RST	F-:A-:B-
ERR2992795	IncF RST	F-:A-:B-
ERR2992796	IncF RST	F-:A-:B-
ERR2992797	IncF RST	F-:A-:B-
ERR2992798	IncF RST	F-:A-:B-
ERR2992799	IncF RST	F-:A-:B-
ERR2992800	IncF RST	F-:A-:B-
ERR2992801	IncF RST	F-:A-:B-
ERR2992803	IncF RST	F-:A-:B-
ERR2992804	IncF RST	F-:A-:B-
ERR2992805	IncF RST	F-:A-:B-
ERR2992806	IncF RST	F-:A-:B-
ERR2992807	IncF RST	F-:A-:B-
ERR2992808	IncF RST	F-:A-:B-
ERR2992809	IncF RST	F-:A-:B-
ERR2992810	IncF RST	F-:A-:B-
ERR2992811	IncF RST	F-:A-:B-
ERR2992814	IncF RST	F-:A-:B-
ERR2992815	IncF RST	F-:A-:B-
ERR2992816	IncF RST	F-:A-:B-
ERR2992818	IncF RST	F-:A-:B-
ERR2992819	IncF RST	F-:A-:B-
ERR2992821	IncF RST	F-:A-:B-
ERR2992822	IncF RST	F-:A-:B-
ERR2992823	IncF RST	F-:A-:B-
ERR2992824	IncF RST	F-:A-:B-
ERR2992825	IncF RST	F-:A-:B-
ERR2992826	IncF RST	F-:A-:B-
ERR2992827	IncF RST	F-:A-:B-
ERR2992829	IncF RST	F-:A-:B-
ERR2992831	IncF RST	F-:A-:B-
ERR2992832	IncF RST	F-:A-:B-
ERR2992833	IncF RST	F-:A-:B-
ERR2992834	IncF RST	F-:A-:B-
ERR5639045	IncF RST	F-:A-:B-
ISLHD_2017_10_S81	IncF RST	F-:A-:B-
ISLHD_2017_11_S82	IncF RST	F-:A-:B-
ISLHD_2017_12_S83	IncF RST	F-:A-:B-
ISLHD_2017_13_S84	IncF RST	F-:A-:B-
ISLHD_2017_14_S85	IncF RST	F-:A-:B-
ISLHD_2017_15_S86	IncF RST	S1:A-:B22
ISLHD_2017_16_S87	IncF RST	F-:A-:B-
ISLHD_2017_17_S88	IncF RST	F-:A-:B-
ISLHD_2017_18_S89	IncF RST	S1:A8:B17
ISLHD_2017_1_S76	IncF RST	F-:A-:B-
ISLHD_2017_2_S116	IncF RST	F-:A-:B-
ISLHD_2017_3_S117	IncF RST	F-:A-:B-
ISLHD_2017_4_S118	IncF RST	F-:A18:B-
ISLHD_2017_5_S77	IncF RST	F-:A-:B-
ISLHD_2017_6_S119	IncF RST	F-:A-:B-
ISLHD_2017_7_S78	IncF RST	F-:A-:B-
ISLHD_2017_8_S79	IncF RST	F-:A-:B-
ISLHD_2017_9_S80	IncF RST	S1:A-:B17
ISLHD_2018_10_S99	IncF RST	F-:A-:B-
ISLHD_2018_11_S100	IncF RST	S1:A-:B17
ISLHD_2018_12_S101	IncF RST	F-:A-:B-
ISLHD_2018_13_S102	IncF RST	F-:A-:B-
ISLHD_2018_14_S103	IncF RST	F-:A-:B-
ISLHD_2018_15_S104	IncF RST	S1:A-:B17
ISLHD_2018_16_S105	IncF RST	S1:A-:B17
ISLHD_2018_17_S106	IncF RST	F-:A-:B-
ISLHD_2018_1_S90	IncF RST	S1:A-:B17
ISLHD_2018_2_S91	IncF RST	F-:A-:B-
ISLHD_2018_3_S92	IncF RST	F-:A-:B-
ISLHD_2018_4_S93	IncF RST	S1:A-:B22
ISLHD_2018_5_S94	IncF RST	F-:A-:B-
ISLHD_2018_6_S95	IncF RST	F-:A-:B-
ISLHD_2018_7_S96	IncF RST	S1:A-:B17
ISLHD_2018_8_S97	IncF RST	F-:A-:B-
ISLHD_2018_9_S98	IncF RST	S1:A-:B17
ISLHD_2019_01	IncF RST	F-:A-:B-
ISLHD_2019_02	IncF RST	S1:A-:B17
ISLHD_2019_03	IncF RST	F-:A-:B-
ISLHD_2019_04	IncF RST	F-:A-:B-
ISLHD_2019_05	IncF RST	F-:A-:B-
ISLHD_2019_06	IncF RST	S1:A-:B17
ISLHD_2019_07	IncF RST	F-:A-:B-
ISLHD_2019_08	IncF RST	F-:A-:B-
ISLHD_2019_09	IncF RST	F-:A-:B-
ISLHD_2019_10	IncF RST	F-:A-:B-
ISLHD_2019_11	IncF RST	F-:A-:B-
ISLHD_2019_12	IncF RST	F-:A-:B-
ISLHD_2019_13	IncF RST	F-:A-:B-
ISLHD_2019_14	IncF RST	S1:A-:B17
ISLHD_2019_15	IncF RST	S1:A-:B17
ISLHD_2019_16	IncF RST	F-:A-:B-
ISLHD_2019_17	IncF RST	F-:A-:B-
ISLHD_2019_18	IncF RST	F-:A-:B-
ISLHD_2019_19	IncF RST	F-:A-:B-
ISLHD_2019_20	IncF RST	F-:A-:B-
ISLHD_2019_21	IncF RST	F-:A-:B-
ISLHD_2019_22	IncF RST	S3:A-:B-
ISLHD_2019_23	IncF RST	F-:A-:B-
ISLHD_2019_24	IncF RST	F-:A8:B-
ISLHD_2019_25	IncF RST	F-:A8:B-
ISLHD_2019_26	IncF RST	F-:A-:B-
ISLHD_2019_27	IncF RST	F-:A-:B-
ISLHD_2019_28	IncF RST	F-:A-:B-
ISLHD_2019_29	IncF RST	F-:A-:B-
ISLHD_2019_30	IncF RST	F-:A-:B-
MD_6_A10	IncF RST	F-:A-:B-
MD_6_A11	IncF RST	S1:A-:B17
MD_6_A12	IncF RST	S3:A-:B18
MD_6_A8	IncF RST	S1:A-:B17
MD_6_A9	IncF RST	S1:A-:B17
MD_6_B10	IncF RST	S1:A-:B17
MD_6_B11	IncF RST	S1:A-:B17
MD_6_B12	IncF RST	F2:A-:B17
MD_6_B8	IncF RST	S1:A-:B17
MD_6_B9	IncF RST	S1:A-:B17
MD_6_C10	IncF RST	S1:A-:B17
MD_6_C11	IncF RST	S1:A-:B17
MD_6_C12	IncF RST	S1:A-:B17
MD_6_C8	IncF RST	F-:A-:B-
MD_6_C9	IncF RST	F-:A-:B-
MD_6_D10	IncF RST	S1:A-:B17
MD_6_D11	IncF RST	S1:A-:B17
MD_6_D12	IncF RST	F-:A-:B-
MD_6_D8	IncF RST	S1:A-:B17
MD_6_D9	IncF RST	F-:A-:B-
MD_6_E10	IncF RST	F-:A-:B-
MD_6_E11	IncF RST	S1:A-:B17
MD_6_E12	IncF RST	F-:A-:B-
MD_6_E8	IncF RST	F-:A-:B-
MD_6_E9	IncF RST	S3:A-:B18
MD_6_F10	IncF RST	S1:A-:B17
MD_6_F11	IncF RST	F-:A-:B-
MD_6_F12	IncF RST	F-:A-:B-
MD_6_F8	IncF RST	F-:A-:B-
MD_6_F9	IncF RST	F-:A-:B-
MD_6_G10	IncF RST	S1:A-:B17
MD_6_G11	IncF RST	F-:A-:B-
MD_6_G8	IncF RST	S1:A-:B17
MD_6_G9	IncF RST	S1:A-:B17
MD_6_H10	IncF RST	S1:A-:B-
MD_6_H11	IncF RST	S1:A-:B17
MD_6_H7	IncF RST	F-:A-:B-
MD_6_H8	IncF RST	F-:A-:B-
MD_6_H9	IncF RST	F-:A-:B-
MD_7_A1	IncF RST	S1:A-:B17
MD_7_A2	IncF RST	S1:A-:B17
MD_7_A3	IncF RST	F-:A-:B-
MD_7_B1	IncF RST	F-:A-:B-
MD_7_B2	IncF RST	S1:A-:B17
MD_7_C1	IncF RST	S1:A-:B17
MD_7_C2	IncF RST	S1:A-:B17
MD_7_D1	IncF RST	F-:A-:B-
MD_7_D2	IncF RST	S1:A-:B17
MD_7_E2	IncF RST	F-:A-:B-
MD_7_F1	IncF RST	S1:A-:B17
