name	scheme	ST	allele1	allele2	allele3	allele4	allele5	allele6	allele7
SRR7998201	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR4419666	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ISLHD_2019_28	senterica	34	aroC(10)	dnaN(19)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14144466	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14144317	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
W_1_C11	senterica	6238	aroC(144)	dnaN(14)	hemD(46)	hisD(62)	purE(76)	sucA(2)	thrA(281)
ERR2992794	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
ISLHD_2019_22	senterica	343	aroC(11)	dnaN(10)	hemD(25)	hisD(118)	purE(10)	sucA(13)	thrA(4)
W_1_E11	senterica	6238	aroC(144)	dnaN(14)	hemD(46)	hisD(62)	purE(76)	sucA(2)	thrA(281)
ERR2992779	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR14144279	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR7841404	senterica	16	aroC(6)	dnaN(7)	hemD(10)	hisD(10)	purE(8)	sucA(10)	thrA(14)
SRR10968170	senterica	43	aroC(2)	dnaN(14)	hemD(24)	hisD(14)	purE(2)	sucA(19)	thrA(8)
SRR14143194	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR1968955	senterica	-	aroC(~3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
Seagull_18_90_1_S9	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14347851	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
MD_6_B11	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR3476810	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SG19_269_Sal	senterica	138	aroC(11)	dnaN(41)	hemD(55)	hisD(42)	purE(34)	sucA(58)	thrA(4)
SRR7416357	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
ISLHD_2017_4_S118	senterica	48	aroC(22)	dnaN(11)	hemD(25)	hisD(21)	purE(10)	sucA(23)	thrA(23)
SRR4419684	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
MD_6_E10	senterica	97	aroC(51)	dnaN(48)	hemD(43)	hisD(50)	purE(42)	sucA(43)	thrA(45)
SRR1645496	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR3476794	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR4419673	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14145184	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR7426956	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
ERR2992792	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR14143690	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
ERR2992800	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR1645499	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
Seagull_18_132_1_S29	senterica	2250	aroC(516)	dnaN(13)	hemD(401)	hisD(131)	purE(522)	sucA(2)	thrA(531)
MD_6_C8	senterica	50	aroC(5)	dnaN(21)	hemD(18)	hisD(9)	purE(6)	sucA(12)	thrA(17)
SRR3476845	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SIML_2017_14	senterica	198	aroC(76)	dnaN(14)	hemD(3)	hisD(77)	purE(64)	sucA(64)	thrA(67)
SRR14144439	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR7274986	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
MD_7_D2	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ISLHD_2019_03	senterica	424	aroC(143)	dnaN(31)	hemD(18)	hisD(143)	purE(5)	sucA(142)	thrA(22)
ERR2992819	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
MD_6_G8	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
MD_7_F2	senterica	14	aroC(7)	dnaN(6)	hemD(8)	hisD(8)	purE(7)	sucA(8)	thrA(13)
SRR14144384	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14144457	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ISLHD_2019_02	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14144375	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14334838	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR14144084	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14143183	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14144453	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR7468919	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR7351456	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
ISLHD_2019_27	senterica	16	aroC(6)	dnaN(7)	hemD(10)	hisD(10)	purE(8)	sucA(10)	thrA(14)
MD_6_C9	senterica	343	aroC(11)	dnaN(10)	hemD(25)	hisD(118)	purE(10)	sucA(13)	thrA(4)
MD_6_H9	senterica	43	aroC(2)	dnaN(14)	hemD(24)	hisD(14)	purE(2)	sucA(19)	thrA(8)
MD_6_B9	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ISLHD_2019_08	senterica	50	aroC(5)	dnaN(21)	hemD(18)	hisD(9)	purE(6)	sucA(12)	thrA(17)
SRR14144425	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
MD_6_D11	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
MD_7_E2	senterica	97	aroC(51)	dnaN(48)	hemD(43)	hisD(50)	purE(42)	sucA(43)	thrA(45)
ISLHD_2017_5_S77	senterica	424	aroC(143)	dnaN(31)	hemD(18)	hisD(143)	purE(5)	sucA(142)	thrA(22)
SRR4419686	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SG19_288_Sal	senterica	16	aroC(6)	dnaN(7)	hemD(10)	hisD(10)	purE(8)	sucA(10)	thrA(14)
ERR2992799	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR8715615	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR3476830	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ERR2992778	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR10900174	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR14143200	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ERR2173667	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR14144442	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14144446	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14144479	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
Seagull_18_96_1_S14	senterica	64	aroC(10)	dnaN(14)	hemD(15)	hisD(31)	purE(25)	sucA(20)	thrA(33)
SG19_397_Sal	senterica	292	aroC(104)	dnaN(100)	hemD(54)	hisD(78)	purE(104)	sucA(9)	thrA(48)
MD_6_F12	senterica	16	aroC(6)	dnaN(7)	hemD(10)	hisD(10)	purE(8)	sucA(10)	thrA(14)
SRR7292963	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR7451162	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
ERR2992811	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
ISLHD_2019_10	senterica	582	aroC(2)	dnaN(5)	hemD(116)	hisD(88)	purE(5)	sucA(19)	thrA(12)
SRR8142798	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR14142982	senterica	16	aroC(6)	dnaN(7)	hemD(10)	hisD(10)	purE(8)	sucA(10)	thrA(14)
SRR14144624	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SG19_116_05_E_coli	senterica	1792	aroC(14)	dnaN(210)	hemD(8)	hisD(14)	purE(38)	sucA(19)	thrA(102)
Seagull_18_154_S34	senterica	64	aroC(10)	dnaN(14)	hemD(15)	hisD(31)	purE(25)	sucA(20)	thrA(33)
ERR2992766	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR14145386	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR7444218	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR3476809	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SIML_2017_22	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
Seagull_18_132_2_S30	senterica	2250	aroC(516)	dnaN(13)	hemD(401)	hisD(131)	purE(522)	sucA(2)	thrA(531)
SRR7884502	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR4419679	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ERR2992816	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
MD_6_F11	senterica	97	aroC(51)	dnaN(48)	hemD(43)	hisD(50)	purE(42)	sucA(43)	thrA(45)
MD_7_H2	senterica	16	aroC(6)	dnaN(7)	hemD(10)	hisD(10)	purE(8)	sucA(10)	thrA(14)
ERR2992815	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR14145156	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR8369269	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
MD_6_G11	senterica	383	aroC(125)	dnaN(63)	hemD(17)	hisD(62)	purE(12)	sucA(58)	thrA(3)
MD_6_F9	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
ERR2992773	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SG19_327_Sal	senterica	413	aroC(15)	dnaN(70)	hemD(93)	hisD(78)	purE(113)	sucA(6)	thrA(68)
Seagull_18_206_S47	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR1645497	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14144324	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SIML_2019_04	senterica	11	aroC(5)	dnaN(2)	hemD(3)	hisD(7)	purE(6)	sucA(6)	thrA(11)
SRR8839601	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ERR2992801	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR12168713	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR14144478	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14143152	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR8648227	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR7523611	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR8585171	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR7401838	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR4419689	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ERR2215165	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14145318	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14144424	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
Seagull_18_117_3_S23	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ERR2992834	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
Seagull_18_100_1_S16	senterica	34	aroC(10)	dnaN(19)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ERR2992814	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
ISLHD_2018_12_S101	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
ISLHD_2019_15	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SG19_084_Sal	senterica	16	aroC(6)	dnaN(7)	hemD(10)	hisD(10)	purE(8)	sucA(10)	thrA(14)
SRR3476827	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SIML_2017_09	senterica	29	aroC(16)	dnaN(16)	hemD(20)	hisD(18)	purE(8)	sucA(12)	thrA(18)
SRR14144086	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR7426620	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
MD_6_C11	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ERR2992824	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR14144276	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14145087	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14144335	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SIML_2017_05	senterica	34	aroC(10)	dnaN(19)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR12323756	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
Seagull_18_240_2_S59	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
MD_7_G2	senterica	32	aroC(17)	dnaN(18)	hemD(22)	hisD(17)	purE(5)	sucA(21)	thrA(19)
SRR7458213	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR7450802	senterica	2250	aroC(516)	dnaN(13)	hemD(401)	hisD(131)	purE(522)	sucA(2)	thrA(531)
ERR2992754	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR7251084	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SIML_2017_15	senterica	11	aroC(5)	dnaN(2)	hemD(3)	hisD(7)	purE(6)	sucA(6)	thrA(11)
MD_7_H1	senterica	50	aroC(5)	dnaN(21)	hemD(18)	hisD(9)	purE(6)	sucA(12)	thrA(17)
SRR8740777	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
SRR3476821	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR3476811	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SIML_2017_13	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
ERR2992775	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR5583181	senterica	13	aroC(3)	dnaN(3)	hemD(7)	hisD(4)	purE(3)	sucA(3)	thrA(7)
ERR2992832	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR14144491	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ERR2992798	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
SRR3476819	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
SRR14144123	senterica	19	aroC(10)	dnaN(7)	hemD(12)	hisD(9)	purE(5)	sucA(9)	thrA(2)
ERR2992825	senterica	523	aroC(101)	dnaN(64)	hemD(25)	hisD(163)	purE(84)	sucA(6)	thrA(101)
