snp-dists 0.6.3,SG19_292_Sal,SG19_397_Sal,SRR13234130,SRR6321788,SRR9287697
SG19_292_Sal,0,4,13,19,101
SG19_397_Sal,4,0,15,19,101
SRR13234130,13,15,0,18,104
SRR6321788,19,19,18,0,102
SRR9287697,101,101,104,102,0
