snp-dists 0.6.3,ISLHD_2018_8_S97,ISLHD_2019_08,MD_6_C8,MD_6_E8,MD_6_H7,SIML_2017_04
ISLHD_2018_8_S97,0,77,42,72,45,109
ISLHD_2019_08,77,0,81,95,78,140
MD_6_C8,42,81,0,78,5,115
MD_6_E8,72,95,78,0,73,111
MD_6_H7,45,78,5,73,0,118
SIML_2017_04,109,140,115,111,118,0
