name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
ISLHD_2017_10_S81	4704963	58	81120.05	868915	207	0	0	322256	4	167186	9	93345	16
ISLHD_2017_11_S82	4846246	126	38462.27	266813	209	0	0	120323	12	77327	23	44653	40
ISLHD_2017_12_S83	4758103	51	93296.14	444920	201	0	0	282397	8	154237	12	78266	21
ISLHD_2017_13_S84	4758822	52	91515.81	445104	201	0	0	282638	8	154154	12	78266	21
ISLHD_2017_14_S85	4714070	62	76033.39	486303	203	0	0	230872	7	153701	12	66744	22
ISLHD_2017_15_S86	4714337	38	124061.50	1323691	204	0	0	489972	3	227799	6	125407	11
ISLHD_2017_16_S87	4850657	81	59884.65	322992	223	0	0	191651	10	128275	16	63472	26
ISLHD_2017_17_S88	4713939	52	90652.67	430275	202	0	0	283245	7	165840	11	75255	20
ISLHD_2017_18_S89	5097463	93	54811.43	629103	201	0	0	276469	7	149871	12	79663	22
ISLHD_2017_1_S76	4848874	52	93247.58	1360603	207	0	0	538045	3	233969	6	117674	12
ISLHD_2017_2_S116	4682791	49	95567.16	440753	223	0	0	317738	7	213212	10	59216	18
ISLHD_2017_3_S117	4952929	94	52690.73	617258	210	0	0	236457	7	135196	12	47372	24
ISLHD_2017_4_S118	4813309	83	57991.67	514500	205	0	0	263299	7	123644	13	61138	24
ISLHD_2017_5_S77	4919428	88	55902.59	520498	202	0	0	163784	9	101446	16	44821	30
ISLHD_2017_6_S119	4683035	50	93660.70	1195280	205	0	0	229122	5	193185	9	110292	15
ISLHD_2017_7_S78	4825667	59	81790.97	550332	220	0	0	380057	6	202802	9	77170	17
ISLHD_2017_8_S79	4696541	49	95847.78	527645	206	0	0	392398	6	275921	8	77109	15
ISLHD_2017_9_S80	4885589	83	58862.52	538593	217	0	0	222655	8	149644	13	59026	25
ISLHD_2018_10_S99	4847462	91	53268.81	325014	202	0	0	162561	11	101336	18	55852	30
ISLHD_2018_11_S100	4863349	99	49124.74	628213	200	0	0	222746	7	109639	13	58100	24
