#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_10_S81.fasta	contig00001	783265	783425	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_10_S81.fasta	contig00002	588650	589422	-	sitC	1-773/837	==============.	0/0	92.35	75.29	colV_zoetis		sitC	
ISLHD_2017_10_S81.fasta	contig00002	671751	673880	-	iroN	1-2133/2178	========/======	3/5	97.75	77.46	colV_zoetis		iroN	
ISLHD_2017_10_S81.fasta	contig00002	676279	679909	-	iroC	117-3735/3786	========/======	19/36	95.27	76.23	colV_zoetis		iroC	
ISLHD_2017_10_S81.fasta	contig00002	679995	681110	-	iroB	34-1149/1164	===============	0/0	95.88	78.14	colV_zoetis		iroB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_11_S82.fasta	contig00024	3614	3774	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_11_S82.fasta	contig00032	44116	46290	-	iroN	1-2178/2178	========/======	5/7	99.77	77.20	colV_zoetis		iroN	
ISLHD_2017_11_S82.fasta	contig00032	48689	52316	-	iroC	117-3735/3786	========/======	16/31	95.30	75.93	colV_zoetis		iroC	
ISLHD_2017_11_S82.fasta	contig00032	52402	53517	-	iroB	34-1149/1164	===============	0/0	95.88	77.87	colV_zoetis		iroB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_12_S83.fasta	contig00003	5042	5202	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_12_S83.fasta	contig00011	113180	114295	+	iroB	34-1149/1164	===============	0/0	95.88	78.14	colV_zoetis		iroB	
ISLHD_2017_12_S83.fasta	contig00011	114381	118011	+	iroC	117-3735/3786	========/======	19/36	95.27	75.93	colV_zoetis		iroC	
ISLHD_2017_12_S83.fasta	contig00011	120410	122584	+	iroN	1-2178/2178	========/======	5/7	99.77	77.25	colV_zoetis		iroN	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_13_S84.fasta	contig00003	4781	4941	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_13_S84.fasta	contig00011	43493	45667	-	iroN	1-2178/2178	========/======	5/7	99.77	77.25	colV_zoetis		iroN	
ISLHD_2017_13_S84.fasta	contig00011	48066	51696	-	iroC	117-3735/3786	========/======	19/36	95.27	75.93	colV_zoetis		iroC	
ISLHD_2017_13_S84.fasta	contig00011	51782	52897	-	iroB	34-1149/1164	===============	0/0	95.88	78.14	colV_zoetis		iroB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_14_S85.fasta	contig00009	115929	116089	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_14_S85.fasta	contig00009	117084	117260	-	etsB	433-609/1941	...==.../......	2/2	9.07	75.28	colV_zoetis		etsB	
ISLHD_2017_14_S85.fasta	contig00013	44217	46391	-	iroN	1-2178/2178	========/======	3/5	99.82	77.19	colV_zoetis		iroN	
ISLHD_2017_14_S85.fasta	contig00013	48790	52417	-	iroC	117-3735/3786	========/======	20/35	95.25	76.27	colV_zoetis		iroC	
ISLHD_2017_14_S85.fasta	contig00013	52503	53618	-	iroB	34-1149/1164	===============	0/0	95.88	78.05	colV_zoetis		iroB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_15_S86.fasta	contig00002	638083	640257	-	iroN	1-2178/2178	========/======	5/7	99.77	77.34	colV_zoetis		iroN	
ISLHD_2017_15_S86.fasta	contig00002	642650	646280	-	iroC	117-3735/3786	========/======	21/38	95.25	76.15	colV_zoetis		iroC	
ISLHD_2017_15_S86.fasta	contig00002	646366	647481	-	iroB	34-1149/1164	===============	0/0	95.88	78.31	colV_zoetis		iroB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_16_S87.fasta	contig00005	168580	170754	-	iroN	1-2178/2178	========/======	5/7	99.77	77.20	colV_zoetis		iroN	
ISLHD_2017_16_S87.fasta	contig00005	173153	176780	-	iroC	117-3735/3786	========/======	16/31	95.30	75.93	colV_zoetis		iroC	
ISLHD_2017_16_S87.fasta	contig00005	176866	177981	-	iroB	34-1149/1164	===============	0/0	95.88	77.87	colV_zoetis		iroB	
ISLHD_2017_16_S87.fasta	contig00014	146075	146235	+	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_17_S88.fasta	contig00004	5182	5342	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_17_S88.fasta	contig00009	113232	114347	+	iroB	34-1149/1164	===============	0/0	95.88	78.14	colV_zoetis		iroB	
ISLHD_2017_17_S88.fasta	contig00009	114433	118063	+	iroC	117-3735/3786	========/======	19/36	95.27	75.93	colV_zoetis		iroC	
ISLHD_2017_17_S88.fasta	contig00009	120462	122636	+	iroN	1-2178/2178	========/======	5/7	99.77	77.25	colV_zoetis		iroN	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_18_S89.fasta	contig00003	268260	270434	-	iroN	1-2178/2178	========/======	5/7	99.77	77.20	colV_zoetis		iroN	
ISLHD_2017_18_S89.fasta	contig00003	272833	276460	-	iroC	117-3735/3786	========/======	16/31	95.30	75.93	colV_zoetis		iroC	
ISLHD_2017_18_S89.fasta	contig00003	276546	277661	-	iroB	34-1149/1164	===============	0/0	95.88	77.87	colV_zoetis		iroB	
ISLHD_2017_18_S89.fasta	contig00012	3638	3798	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_1_S76.fasta	contig00002	53605	54720	+	iroB	34-1149/1164	===============	0/0	95.88	77.87	colV_zoetis		iroB	
ISLHD_2017_1_S76.fasta	contig00002	54806	58436	+	iroC	117-3735/3786	========/======	18/36	95.27	75.76	colV_zoetis		iroC	
ISLHD_2017_1_S76.fasta	contig00002	60829	63003	+	iroN	1-2178/2178	========/======	5/7	99.77	77.34	colV_zoetis		iroN	
ISLHD_2017_1_S76.fasta	contig00002	145193	145965	+	sitC	1-773/837	==============.	0/0	92.35	75.42	colV_zoetis		sitC	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_2_S116.fasta	contig00005	89997	90173	+	etsB	433-609/1941	...==.../......	2/2	9.07	75.28	colV_zoetis		etsB	
ISLHD_2017_2_S116.fasta	contig00005	91168	91328	+	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_2_S116.fasta	contig00013	44237	46411	-	iroN	1-2178/2178	========/======	3/5	99.82	77.19	colV_zoetis		iroN	
ISLHD_2017_2_S116.fasta	contig00013	48810	52437	-	iroC	117-3735/3786	========/======	20/35	95.25	76.27	colV_zoetis		iroC	
ISLHD_2017_2_S116.fasta	contig00013	52523	53638	-	iroB	34-1149/1164	===============	0/0	95.88	78.05	colV_zoetis		iroB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_3_S117.fasta	contig00002	438	1553	+	iroB	34-1149/1164	===============	0/0	95.88	77.87	colV_zoetis		iroB	
ISLHD_2017_3_S117.fasta	contig00002	1639	5266	+	iroC	117-3735/3786	========/======	16/31	95.30	75.93	colV_zoetis		iroC	
ISLHD_2017_3_S117.fasta	contig00002	7665	9839	+	iroN	1-2178/2178	========/======	5/7	99.77	77.20	colV_zoetis		iroN	
ISLHD_2017_3_S117.fasta	contig00014	3638	3798	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
