snp-dists 0.6.3,ISLHD_2017_10_S81,ISLHD_2017_11_S82,ISLHD_2017_12_S83,ISLHD_2017_13_S84,ISLHD_2017_14_S85,ISLHD_2017_15_S86,ISLHD_2017_16_S87,ISLHD_2017_17_S88,ISLHD_2017_18_S89,ISLHD_2017_2_S116,ISLHD_2017_3_S117,ISLHD_2017_4_S118,ISLHD_2017_5_S77,ISLHD_2017_6_S119,ISLHD_2017_7_S78,ISLHD_2017_8_S79,ISLHD_2017_9_S80,ISLHD_2018_10_S99,ISLHD_2018_11_S100,ISLHD_2018_12_S101,ISLHD_2018_13_S102,ISLHD_2018_14_S103,ISLHD_2018_15_S104,ISLHD_2018_16_S105,ISLHD_2018_17_S106,ISLHD_2018_1_S90,ISLHD_2018_2_S91,ISLHD_2018_3_S92,ISLHD_2018_4_S93,ISLHD_2018_5_S94,ISLHD_2018_6_S95,ISLHD_2018_7_S96,ISLHD_2018_8_S97,ISLHD_2018_9_S98,ISLHD_2019_01,ISLHD_2019_02,ISLHD_2019_03,ISLHD_2019_04,ISLHD_2019_05,ISLHD_2019_06,ISLHD_2019_07,ISLHD_2019_08,ISLHD_2019_09,ISLHD_2019_10,ISLHD_2019_11,ISLHD_2019_12,ISLHD_2019_13,ISLHD_2019_14,ISLHD_2019_15,ISLHD_2019_16,ISLHD_2019_17,ISLHD_2019_18,ISLHD_2019_19,ISLHD_2019_20,ISLHD_2019_21,ISLHD_2019_22,ISLHD_2019_23,ISLHD_2019_24,ISLHD_2019_25,ISLHD_2019_27,ISLHD_2019_28,ISLHD_2019_29,ISLHD_2019_30,SG19_084_Sal,SG19_116.05_E.coli,SG19_116_Sal,SG19_171_Sal,SG19_182_Sal,SG19_233_Sal,SG19_238_Sal,SG19_269_Sal,SG19_284_Sal,SG19_288_Sal,SG19_292_Sal,SG19_298_Sal,SG19_327_Sal,SG19_334_Sal,SG19_380_Sal,SG19_397_Sal,SG19_400_Sal,SIML_2017_01,SIML_2017_02,SIML_2017_03,SIML_2017_04,SIML_2017_05,SIML_2017_06,SIML_2017_07,SIML_2017_08,SIML_2017_09,SIML_2017_10,SIML_2017_11,SIML_2017_13,SIML_2017_14,SIML_2017_15,SIML_2017_16,SIML_2017_18,SIML_2017_19,SIML_2017_21,SIML_2017_22,SIML_2017_23,SIML_2017_24,SIML_2019_02,SIML_2019_03,SIML_2019_04,SIML_2019_05,SIML_2019_06,SIML_2019_07,SIML_2019_08,SIML_2019_09,SIML_2019_10,SIML_2019_11,SIML_2019_12,SIML_2019_13,SIML_2019_14,SIML_2019_15,Seagull_18_100_1_S16,Seagull_18_100_2_S17,Seagull_18_117_1_S21,Seagull_18_117_2_S22,Seagull_18_117_3_S23,Seagull_18_124_1_S26,Seagull_18_132_1_S29,Seagull_18_132_2_S30,Seagull_18_154_S34,Seagull_18_163_1_S37,Seagull_18_163_2_S38,Seagull_18_165_S107,Seagull_18_172_S40,Seagull_18_190_1_S42,Seagull_18_190_2_S43,Seagull_18_206_S47,Seagull_18_220_S109,Seagull_18_240_1_S58,Seagull_18_240_2_S59,Seagull_18_255_S68,Seagull_18_89_S8,Seagull_18_90_1_S9,Seagull_18_90_2_S10,Seagull_18_96_1_S14,Seagull_18_96_2_S15,W_1_B11,W_1_D11,W_1_F11,W_1_G11,W_1_H11
ISLHD_2017_10_S81,0,26012,26219,26215,26718,26171,26011,26215,26004,26713,26018,28692,26218,25287,26484,28469,26054,26003,25990,24334,24,26198,26033,26059,24333,26066,26455,26010,26166,26258,26220,25987,26202,26059,25287,26067,26211,25289,25280,26050,28432,26216,23678,26314,24332,23671,23671,26050,26065,24332,23669,26215,28615,26712,26008,28486,26207,26416,26415,26015,26018,26440,26021,26014,26808,26808,26083,26649,26808,26074,28333,25293,26021,22084,23691,33,26811,26006,22083,26006,26123,25281,26068,26211,26021,26053,26170,28434,26481,26481,23452,23669,22639,26163,26124,26056,26055,28630,26070,25989,23580,26724,97961,26168,26005,26419,28579,26031,26172,26172,26293,26248,26018,26015,26215,26028,26028,26269,26269,26269,28398,26673,26673,25951,26270,26270,26270,26270,26269,26269,26269,26269,26270,26270,26269,25950,26269,26269,25943,25943,27149,23677,23676,26049,24331
ISLHD_2017_11_S82,26012,0,22547,22543,21720,22246,3,22543,202,21715,302,31296,22546,23752,21681,31094,303,39,183,25737,26016,22524,294,308,25736,314,21649,3,22244,21062,22029,182,11959,308,23752,315,22549,23703,23745,299,31076,11973,25938,20991,25735,25921,25931,299,314,25735,25929,22543,31058,21714,46,31119,22534,21730,21729,22359,302,21636,22367,22358,22606,22606,335,21931,22606,323,31069,23709,22363,25882,25951,26007,22609,42,25881,42,22205,23746,316,11968,305,302,22248,31078,21678,21678,25815,25919,26380,22241,22206,305,304,31181,318,182,25556,21723,98379,22246,41,21150,31081,315,22250,22250,6992,22332,302,22359,22543,312,312,532,532,532,31087,23742,23742,22676,533,533,533,533,532,532,532,532,533,533,532,22675,532,532,22708,22708,23756,25937,25936,21309,25734
ISLHD_2017_12_S83,26219,22547,0,4,23079,22782,22546,8,22545,23074,22557,31444,13,23852,22831,30926,22596,22538,22529,25476,26223,79,22584,22601,25475,22606,22801,22545,22778,22545,22937,22526,22466,22601,23852,22607,30,23815,23845,22592,30944,22480,25692,22714,25474,25675,25685,22592,22607,25474,25683,4,30936,23073,22545,30949,185,22913,22912,23883,22557,22788,23891,23882,23043,23043,22628,23012,23043,22616,30841,23821,23889,26107,25706,26214,23046,22541,26106,22541,22734,23846,22608,22475,22560,22595,22782,30946,22826,22826,25572,25673,26515,22775,22735,22598,22597,31098,22610,22528,25740,23084,98324,22780,22540,23124,30763,22570,22784,22784,22669,22866,22557,23883,8,22567,22567,22820,22820,22820,30956,24105,24105,23268,22821,22821,22821,22821,22820,22820,22820,22820,22821,22821,22820,23267,22820,22820,23286,23286,24162,25691,25690,22563,25473
ISLHD_2017_13_S84,26215,22543,4,0,23075,22778,22542,4,22541,23070,22553,31440,9,23848,22827,30922,22592,22534,22525,25472,26219,75,22580,22597,25471,22602,22797,22541,22774,22541,22933,22522,22462,22597,23848,22603,26,23811,23841,22588,30940,22476,25688,22710,25470,25671,25681,22588,22603,25470,25679,0,30932,23069,22541,30945,181,22909,22908,23879,22553,22784,23887,23878,23039,23039,22624,23008,23039,22612,30837,23817,23885,26103,25702,26210,23042,22537,26102,22537,22730,23842,22604,22471,22556,22591,22778,30942,22822,22822,25568,25669,26511,22771,22731,22594,22593,31094,22606,22524,25736,23080,98320,22776,22536,23120,30759,22566,22780,22780,22665,22862,22553,23879,4,22563,22563,22816,22816,22816,30952,24101,24101,23264,22817,22817,22817,22817,22816,22816,22816,22816,22817,22817,22816,23263,22816,22816,23282,23282,24158,25687,25686,22559,25469
ISLHD_2017_14_S85,26718,21720,23079,23075,0,22670,21721,23075,21722,73,21734,31126,23080,23871,21297,30845,21767,21713,21704,26229,26722,23056,21751,21776,26228,21776,21271,21722,22667,22074,22700,21701,21720,21772,23871,21777,23071,23813,23864,21767,30811,21734,26319,22168,26227,26312,26312,21767,21782,26227,26310,23075,30910,72,21718,30860,23065,22505,22504,23759,21734,21257,23767,23758,22651,22651,21803,22891,22651,21787,30753,23819,23763,26336,26330,26713,22654,21716,26335,21716,22627,23863,21778,21731,21737,21768,22671,30813,21292,21292,25908,26310,26806,22664,22628,21769,21768,30930,21780,21703,26205,152,98213,22669,21715,22161,30776,21745,22673,22673,21820,22755,21734,23759,23075,21744,21744,21993,21993,21993,30828,24137,24137,22997,21994,21994,21994,21994,21993,21993,21993,21993,21994,21994,21993,22996,21993,21993,23007,23007,23915,26318,26317,22247,26226
ISLHD_2017_15_S86,26171,22246,22782,22778,22670,0,22245,22778,22244,22663,22261,31433,22781,23812,22466,31089,22295,22238,22228,25970,26175,22761,22277,22300,25969,22312,22435,22244,55,21979,22801,22227,21794,22300,23812,22313,22775,23745,23805,22291,31232,21808,25943,22548,25968,25936,25936,22291,22306,25968,25934,22778,30979,22662,22246,31106,22769,22540,22539,23534,22261,22425,23540,23533,23071,23071,22328,22935,23071,22315,30986,23751,23538,26032,25954,26166,23074,22241,26031,22241,243,23806,22314,21800,22264,22292,83,31234,22461,22461,25783,25934,26479,52,246,22297,22296,31292,22316,22227,25709,22674,98333,57,22240,22656,31148,22274,73,73,22348,167,22261,23534,22778,22271,22271,22516,22516,22516,31066,23883,23883,22635,22517,22517,22517,22517,22516,22516,22516,22516,22517,22517,22516,22634,22516,22516,22641,22641,24036,25942,25941,22152,25967
ISLHD_2017_16_S87,26011,3,22546,22542,21721,22245,0,22542,201,21716,301,31295,22545,23751,21680,31093,302,38,182,25736,26015,22523,293,307,25735,313,21648,4,22243,21063,22030,181,11958,307,23751,314,22548,23702,23744,298,31075,11972,25939,20992,25734,25922,25932,298,313,25734,25930,22542,31057,21715,45,31118,22533,21729,21728,22358,301,21635,22366,22357,22605,22605,334,21930,22605,322,31068,23708,22362,25881,25952,26006,22608,41,25880,41,22204,23745,315,11967,304,301,22247,31077,21677,21677,25816,25920,26379,22240,22205,304,303,31180,317,181,25555,21724,98380,22245,40,21149,31080,314,22249,22249,6991,22331,301,22358,22542,311,311,531,531,531,31086,23743,23743,22675,532,532,532,532,531,531,531,531,532,532,531,22674,531,531,22707,22707,23755,25938,25937,21310,25733
ISLHD_2017_17_S88,26215,22543,8,4,23075,22778,22542,0,22541,23070,22553,31440,9,23848,22827,30922,22592,22534,22525,25472,26219,75,22580,22597,25471,22602,22797,22541,22774,22541,22933,22522,22462,22597,23848,22603,26,23811,23841,22588,30940,22476,25688,22710,25470,25671,25681,22588,22603,25470,25679,4,30932,23069,22541,30945,181,22909,22908,23879,22553,22784,23887,23878,23039,23039,22624,23008,23039,22612,30837,23817,23885,26103,25702,26210,23042,22537,26102,22537,22730,23842,22604,22471,22556,22591,22778,30942,22822,22822,25568,25669,26511,22771,22731,22594,22593,31094,22606,22524,25736,23080,98320,22776,22536,23120,30759,22566,22780,22780,22665,22862,22553,23879,4,22563,22563,22816,22816,22816,30952,24101,24101,23264,22817,22817,22817,22817,22816,22816,22816,22816,22817,22817,22816,23263,22816,22816,23282,23282,24158,25687,25686,22559,25469
ISLHD_2017_18_S89,26004,202,22545,22541,21722,22244,201,22541,0,21717,300,31296,22544,23752,21682,31091,301,193,35,25734,26008,22522,292,306,25733,316,21650,203,22242,21061,22027,52,11955,306,23752,317,22547,23703,23745,297,31074,11969,25941,20994,25732,25924,25934,297,312,25732,25932,22541,31056,21716,200,31116,22532,21726,21725,22359,300,21637,22367,22358,22600,22600,333,21925,22600,321,31065,23709,22363,25881,25954,25999,22603,196,25880,196,22203,23746,318,11964,303,300,22246,31074,21679,21679,25815,25922,26380,22239,22204,303,302,31179,320,34,25555,21725,98379,22244,195,21152,31078,313,22248,22248,6991,22330,300,22359,22541,310,310,530,530,530,31084,23746,23746,22671,531,531,531,531,530,530,530,530,531,531,530,22670,530,530,22703,22703,23750,25940,25939,21313,25731
ISLHD_2017_2_S116,26713,21715,23074,23070,73,22663,21716,23070,21717,0,21729,31121,23075,23868,21294,30840,21762,21708,21699,26222,26717,23051,21746,21771,26221,21771,21268,21717,22660,22067,22697,21696,21715,21767,23868,21772,23066,23810,23861,21762,30806,21729,26314,22163,26220,26307,26307,21762,21777,26220,26305,23070,30905,29,21715,30855,23060,22500,22499,23754,21729,21254,23762,23753,22646,22646,21798,22884,22646,21782,30748,23816,23758,26330,26325,26708,22649,21711,26329,21711,22620,23860,21773,21726,21732,21763,22664,30808,21289,21289,25903,26305,26799,22657,22621,21764,21763,30925,21775,21698,26198,147,98204,22662,21710,22154,30771,21740,22666,22666,21815,22748,21729,23754,23070,21739,21739,21988,21988,21988,30823,24136,24136,22994,21989,21989,21989,21989,21988,21988,21988,21988,21989,21989,21988,22993,21988,21988,23004,23004,23910,26313,26312,22242,26219
