name	Streptomycin	Fosfomycin	Sulfonamide	Chloramphenicol	Beta-lactamase (not ESBL or carbapenemase)	Chloramphenicol/Florfenicol	Efflux
SRR7998201	aph(3'')-Ib*						
SRR4419666							
ISLHD_2019_28							
SRR14144466							
SRR14144317							
W_1_C11							
ERR2992794							
ISLHD_2019_22							
W_1_E11							
ERR2992779							
SRR14144279							
SRR7841404							
SRR10968170							
SRR14143194							
SRR1968955							
Seagull_18_90_1_S9							
SRR14347851							
MD_6_B11							
SRR3476810							
SG19_269_Sal		fosA7					
SRR7416357							
ISLHD_2017_4_S118							
SRR4419684							
MD_6_E10							
SRR1645496							
SRR3476794							
SRR4419673							
SRR14145184							
SRR7426956							
ERR2992792							
SRR14143690							
ERR2992800							
SRR1645499							
Seagull_18_132_1_S29							
MD_6_C8							
SRR3476845							
SIML_2017_14							
SRR14144439							
SRR7274986							
MD_7_D2							
ISLHD_2019_03							
ERR2992819							
MD_6_G8							
MD_7_F2							
SRR14144384							
SRR14144457							
ISLHD_2019_02							
SRR14144375							
SRR14334838							
SRR14144084							
SRR14143183							
SRR14144453							
SRR7468919							
SRR7351456							
ISLHD_2019_27							
MD_6_C9							
MD_6_H9							
MD_6_B9							
ISLHD_2019_08							
SRR14144425							
MD_6_D11							
MD_7_E2							
ISLHD_2017_5_S77							
SRR4419686							
SG19_288_Sal							
ERR2992799							
SRR8715615							
SRR3476830							
ERR2992778							
SRR10900174							
SRR14143200							
ERR2173667							
SRR14144442							
SRR14144446							
SRR14144479							
Seagull_18_96_1_S14							
SG19_397_Sal			sul1*				
MD_6_F12							
SRR7292963							
SRR7451162							
ERR2992811							
ISLHD_2019_10							
SRR8142798							
SRR14142982							
SRR14144624							
SG19_116_05_E_coli							
Seagull_18_154_S34				catA2*			
ERR2992766							
SRR14145386							
SRR7444218							
SRR3476809							
SIML_2017_22							
Seagull_18_132_2_S30							
SRR7884502							
SRR4419679							
ERR2992816							
MD_6_F11							
MD_7_H2							
ERR2992815							
SRR14145156							
SRR8369269							
MD_6_G11							
MD_6_F9							
ERR2992773							
SG19_327_Sal							
Seagull_18_206_S47							
SRR1645497							
SRR14144324							
SIML_2019_04					blaTEM-1*		
SRR8839601							
ERR2992801							
SRR12168713							
SRR14144478							
SRR14143152							
SRR8648227							
SRR7523611							
SRR8585171							
SRR7401838							
SRR4419689							
ERR2215165							
SRR14145318							
SRR14144424							
Seagull_18_117_3_S23							
ERR2992834							
Seagull_18_100_1_S16			sul2*				
ERR2992814							
ISLHD_2018_12_S101							
ISLHD_2019_15							
SG19_084_Sal							
SRR3476827							
SIML_2017_09							
SRR14144086							
SRR7426620							
MD_6_C11							
ERR2992824							
SRR14144276							
SRR14145087							
SRR14144335							
SIML_2017_05							
SRR12323756					blaTEM-1*		
Seagull_18_240_2_S59							
MD_7_G2							
SRR7458213							
SRR7450802							
ERR2992754							
SRR7251084							
SIML_2017_15							
MD_7_H1							
SRR8740777							
SRR3476821							
SRR3476811							
SIML_2017_13							
ERR2992775							
SRR5583181							
ERR2992832							
SRR14144491							
ERR2992798							
SRR3476819							
SRR14144123							
ERR2992825							
SRR3476842							
MD_7_B2							
SRR15096274							
SRR14144451							
SRR3476789							
SRR1645498							
SRR3185118						floR*	
SRR14144469							
SIML_2019_15							
ERR2992747							
SRR14145234							
ISLHD_2019_06							
MD_6_F10							
SIML_2019_14							
ISLHD_2019_11							
SRR1202986							
ERR2023110							
SIML_2019_12							
SRR14144158							
ISLHD_2019_18							
SRR6330606							
Seagull_18_124_1_S26							
SRR14144663							
SRR3476790							
SRR7475467							
W_1_B11							
SRR14897813							
ISLHD_2019_16							
SRR4419665							
SG19_380_Sal							
SIML_2019_11							
SRR14143097							
MD_6_A10		fosA7					
SRR14143210							
SRR14143099							
SIML_2019_10							
ISLHD_2017_12_S83							
ERR2992821							
ISLHD_2019_30							
SRR3476797							
SRR7349169							
SRR14144467							
MD_6_H11							
SRR14144381							
SRR7278076							
ERR2992829							
SRR14144433							
SIML_2019_07							
SRR14144387							
SRR4419664							
SRR14144282							
SRR3476831							
Seagull_18_190_1_S42							
SG19_171_Sal							
Seagull_18_96_2_S15							
ISLHD_2019_24					blaTEM-1*		
Seagull_18_190_2_S43							
SRR8636201							
SRR4419668							
SRR13234130							
SRR14144498							
SRR14144471							
ISLHD_2019_05							
SRR14144630							
ISLHD_2019_09							
ISLHD_2019_21							
ERR2992758							
SIML_2017_18							
SRR12251280							
SRR7277795							
SRR14144496							
SRR14143696							
ISLHD_2019_13							
SRR15299848							
SRR7911490							
SRR3476814							
ERR5639045							
SRR13370988							
ISLHD_2017_2_S116							
SRR14144429							
SRR15366210							
SRR3476841							
ERR2992808							
Seagull_18_163_1_S37							
SRR10799805							
ISLHD_2018_9_S98							
MD_7_C2							
SRR14144485							
ERR2992772							
ISLHD_2018_10_S99							
SRR7850524							
MD_7_D1							
SRR13430547							
ERR2992823							
SRR3476829							
SRR14144385							
SRR4449985							
MD_6_G9							
ERR2992755							
ERR2193140							
SRR12362761					blaTEM-1*		
SRR4774256						floR*	
SRR14145180							
Seagull_18_165_S107							
SRR7523664							
SRR14144507							
SRR4419683							
ISLHD_2019_29							
SRR3476848							
ISLHD_2018_16_S105							
Seagull_18_172_S40							
MD_6_D10							
ISLHD_2018_6_S95							
ISLHD_2019_01							
SRR8524687							
SRR14143111							
SRR14144328							
SRR1645501							
SRR14716908							
SRR7426887							
SRR3476844							
SRR3476833							
Seagull_18_117_2_S22							
ERR2992763							
SRR14144490							
MD_6_E11							
SIML_2017_23							
MD_6_A9							
SRR3476804							
Seagull_18_90_2_S10							
SRR14145145							
SRR14144204							
MD_6_E9							
SRR3476798							
ERR2992782							
SRR3476812							
SRR7414974							
ERR2992831							
ERR2992774							
SRR7528149							
SRR14145215							
MD_6_H10							
ERR2992822							
SRR14143035							
SRR14145191							
SRR8701093							
ISLHD_2017_11_S82							
SIML_2017_17							
SRR7277801							
SRR6321788			sul1*				
SIML_2019_08							
SRR14145251							
ISLHD_2017_17_S88							
MD_6_A8							
ERR2992809							
SRR14143235							
SRR3476834							
SRR12995211							
ISLHD_2017_1_S76							
ERR2992764							
SRR14144112							
Seagull_18_117_1_S21							
SRR3476849							
Seagull_18_100_2_S17			sul2*				
ISLHD_2017_18_S89							
SRR4428951							
MD_6_E12							
SRR9701220							
SIML_2017_11							
MD_7_G1							
SRR14145201							
ERR2992759							
SIML_2017_21							
SRR14144448							
SRR14144314							
SRR14145271							
ISLHD_2018_17_S106							
SRR1645493							
ERR2992795							
SRR14144316							
SRR3476796							
SRR9626915							
SRR1645492							
ISLHD_2018_3_S92							
SRR10520184							
ISLHD_2018_2_S91							
ISLHD_2019_04							
SRR3476835							
SRR14144959							
SRR7885242							
ERR2992748							
ERR2992786							
ERR2992760							
SRR4419669							
SIML_2019_06							
SRR14144187							
SRR14144444							
SRR4419690							
SRR14144420							
SRR3476824							
ERR2992805							
SRR4419688							
SG19_334_Sal							
SRR3476807							
SRR4419674							
SRR14143105							
MD_7_A2							
SRR1969362							
ERR2992776							
SRR3476818							
SRR3476802							
ERR2992750							
SRR3476820							
SRR7480355							
SRR1965714							
ERR2992767							
SG19_284_Sal							
SRR3323018							
SRR4419678							
SIML_2017_01							
SRR14144482							
ERR2992806							
W_1_F11	aph(3'')-Ib*						
ERR2992818							
SRR3476823							
SRR14145282							
SRR14144484							
ERR2992826							
SIML_2017_07							
SRR16641485							
SIML_2019_03							
ERR2992770							
MD_6_A12							
SIML_2017_20							mdsB*
ERR2992789							
ERR2992790							
ERR2992803							
SRR3476792							
MD_6_D8							
ERR2992833							
SRR14144475							
ISLHD_2018_8_S97							
SRR14144986							
SRR4419691							
SRR14144445							
SRR7475312							
SRR14145027							
SRR14144323							
ISLHD_2018_11_S100							
ERR2992753							
SRR7885274							
SRR14145218							
SRR14143051							
ISLHD_2017_14_S85							
SRR14145031							
SRR9274357							
SRR14143148							
MD_6_D9							
ISLHD_2018_5_S94							
SRR3476803							
SRR14144565							
SIML_2017_24			sul1*				
MD_7_F1							
SRR14144432							
SRR3476805							
SRR14144325							
SRR3476793							
SRR14144957							
ISLHD_2017_8_S79							
MD_6_A11							
SRR3476817							
SRR5631610							
SRR7257326							
ISLHD_2017_3_S117							
SIML_2017_19							
ISLHD_2018_4_S93							
SRR3476828							
SRR7451048							
SRR8499323							
SRR3476839							
Seagull_18_163_2_S38							
SRR9287697			sul1*				
ERR2992768							
SRR10302551							
SRR8293794							
W_1_G11							
SRR8429904							
SRR14144421							
SG19_182_Sal							
SIML_2017_02							
SRR3476791							
SRR1645494							
SIML_2019_09							
Seagull_18_255_S68							
SRR7458569							
SRR3476822							
ERR2992783							
ISLHD_2017_7_S78							
SRR3476788							
SRR7528150							
SRR14144463							
SIML_2019_13							
SRR14144441							
SG19_298_Sal							
SRR14144422							
SRR14144635							
SRR3476795							
SIML_2017_10							
SRR14144468							
ISLHD_2018_1_S90							
MD_6_H8							
MD_7_A3							
SRR3476815							
SRR8366145							
ERR2992807							
ISLHD_2019_12							
ERR2992751							
SRR14145164							
ERR2992827							
SRR4774220							
SRR4419671							
SRR14145185							
SG19_292_Sal			sul1*				
Seagull_18_240_1_S58							
SRR14143685							
SRR4419672							
SRR14145177							
SIML_2019_02							
ERR2992796							
SRR3476843							
ISLHD_2019_14							
SRR3476799							
SRR14144409							
ISLHD_2018_13_S102							
SRR3476808							
