#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_10_S81.fasta	contig00001	85499	85659	+	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_10_S81.fasta	contig00002	539314	540086	-	sitC	1-773/837	==============.	0/0	92.35	75.29	colV_zoetis		sitC	
ISLHD_2017_10_S81.fasta	contig00002	622415	624544	-	iroN	1-2133/2178	========/======	3/5	97.75	77.46	colV_zoetis		iroN	
ISLHD_2017_10_S81.fasta	contig00002	626943	630573	-	iroC	117-3735/3786	========/======	19/36	95.27	76.23	colV_zoetis		iroC	
ISLHD_2017_10_S81.fasta	contig00002	630659	631774	-	iroB	34-1149/1164	===============	0/0	95.88	78.14	colV_zoetis		iroB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_11_S82.fasta	contig00011	168580	170754	-	iroN	1-2178/2178	========/======	5/7	99.77	77.20	colV_zoetis		iroN	
ISLHD_2017_11_S82.fasta	contig00011	173153	176780	-	iroC	117-3735/3786	========/======	16/31	95.30	75.93	colV_zoetis		iroC	
ISLHD_2017_11_S82.fasta	contig00011	176866	177981	-	iroB	34-1149/1164	===============	0/0	95.88	77.87	colV_zoetis		iroB	
ISLHD_2017_11_S82.fasta	contig00023	71780	71940	+	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_12_S83.fasta	contig00003	5042	5202	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_12_S83.fasta	contig00011	113180	114295	+	iroB	34-1149/1164	===============	0/0	95.88	78.14	colV_zoetis		iroB	
ISLHD_2017_12_S83.fasta	contig00011	114381	118011	+	iroC	117-3735/3786	========/======	19/36	95.27	75.93	colV_zoetis		iroC	
ISLHD_2017_12_S83.fasta	contig00011	120410	122584	+	iroN	1-2178/2178	========/======	5/7	99.77	77.25	colV_zoetis		iroN	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_13_S84.fasta	contig00003	4781	4941	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_13_S84.fasta	contig00011	43493	45667	-	iroN	1-2178/2178	========/======	5/7	99.77	77.25	colV_zoetis		iroN	
ISLHD_2017_13_S84.fasta	contig00011	48066	51696	-	iroC	117-3735/3786	========/======	19/36	95.27	75.93	colV_zoetis		iroC	
ISLHD_2017_13_S84.fasta	contig00011	51782	52897	-	iroB	34-1149/1164	===============	0/0	95.88	78.14	colV_zoetis		iroB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_14_S85.fasta	contig00009	80375	80535	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_14_S85.fasta	contig00009	81530	81706	-	etsB	433-609/1941	...==.../......	2/2	9.07	75.28	colV_zoetis		etsB	
ISLHD_2017_14_S85.fasta	contig00016	88373	89488	+	iroB	34-1149/1164	===============	0/0	95.88	78.05	colV_zoetis		iroB	
ISLHD_2017_14_S85.fasta	contig00016	89574	93201	+	iroC	117-3735/3786	========/======	20/35	95.25	76.27	colV_zoetis		iroC	
ISLHD_2017_14_S85.fasta	contig00016	95600	97774	+	iroN	1-2178/2178	========/======	3/5	99.82	77.19	colV_zoetis		iroN	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_15_S86.fasta	contig00002	47427	48542	+	iroB	34-1149/1164	===============	0/0	95.88	78.31	colV_zoetis		iroB	
ISLHD_2017_15_S86.fasta	contig00002	48628	52258	+	iroC	117-3735/3786	========/======	21/38	95.25	76.15	colV_zoetis		iroC	
ISLHD_2017_15_S86.fasta	contig00002	54651	56825	+	iroN	1-2178/2178	========/======	5/7	99.77	77.34	colV_zoetis		iroN	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_16_S87.fasta	contig00005	81035	82150	+	iroB	34-1149/1164	===============	0/0	95.88	77.87	colV_zoetis		iroB	
ISLHD_2017_16_S87.fasta	contig00005	82236	85863	+	iroC	117-3735/3786	========/======	16/31	95.30	75.93	colV_zoetis		iroC	
ISLHD_2017_16_S87.fasta	contig00005	88262	90436	+	iroN	1-2178/2178	========/======	5/7	99.77	77.20	colV_zoetis		iroN	
ISLHD_2017_16_S87.fasta	contig00014	146075	146235	+	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_17_S88.fasta	contig00003	45843	46003	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_17_S88.fasta	contig00009	137697	139871	-	iroN	1-2178/2178	========/======	5/7	99.77	77.25	colV_zoetis		iroN	
ISLHD_2017_17_S88.fasta	contig00009	142270	145900	-	iroC	117-3735/3786	========/======	19/36	95.27	75.93	colV_zoetis		iroC	
ISLHD_2017_17_S88.fasta	contig00009	145986	147101	-	iroB	34-1149/1164	===============	0/0	95.88	78.14	colV_zoetis		iroB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_18_S89.fasta	contig00009	114797	115912	+	iroB	34-1149/1164	===============	0/0	95.88	77.87	colV_zoetis		iroB	
ISLHD_2017_18_S89.fasta	contig00009	115998	119625	+	iroC	117-3735/3786	========/======	16/31	95.30	75.93	colV_zoetis		iroC	
ISLHD_2017_18_S89.fasta	contig00009	122024	124198	+	iroN	1-2178/2178	========/======	5/7	99.77	77.20	colV_zoetis		iroN	
ISLHD_2017_18_S89.fasta	contig00012	3638	3798	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_1_S76.fasta	contig00002	53613	54728	+	iroB	34-1149/1164	===============	0/0	95.88	77.87	colV_zoetis		iroB	
ISLHD_2017_1_S76.fasta	contig00002	54814	58444	+	iroC	117-3735/3786	========/======	18/36	95.27	75.76	colV_zoetis		iroC	
ISLHD_2017_1_S76.fasta	contig00002	60837	63011	+	iroN	1-2178/2178	========/======	5/7	99.77	77.34	colV_zoetis		iroN	
ISLHD_2017_1_S76.fasta	contig00002	145201	145973	+	sitC	1-773/837	==============.	0/0	92.35	75.42	colV_zoetis		sitC	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_2_S116.fasta	contig00005	89997	90173	+	etsB	433-609/1941	...==.../......	2/2	9.07	75.28	colV_zoetis		etsB	
ISLHD_2017_2_S116.fasta	contig00005	91168	91328	+	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_2_S116.fasta	contig00013	44386	46560	-	iroN	1-2178/2178	========/======	3/5	99.82	77.19	colV_zoetis		iroN	
ISLHD_2017_2_S116.fasta	contig00013	48959	52586	-	iroC	117-3735/3786	========/======	20/35	95.25	76.27	colV_zoetis		iroC	
ISLHD_2017_2_S116.fasta	contig00013	52672	53787	-	iroB	34-1149/1164	===============	0/0	95.88	78.05	colV_zoetis		iroB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_3_S117.fasta	contig00014	3638	3798	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.78	colV_zoetis		etsB	
ISLHD_2017_3_S117.fasta	contig00027	438	1553	+	iroB	34-1149/1164	===============	0/0	95.88	77.87	colV_zoetis		iroB	
ISLHD_2017_3_S117.fasta	contig00027	1639	5266	+	iroC	117-3735/3786	========/======	16/31	95.30	75.93	colV_zoetis		iroC	
ISLHD_2017_3_S117.fasta	contig00027	7665	9839	+	iroN	1-2178/2178	========/======	5/7	99.77	77.20	colV_zoetis		iroN	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_4_S118.fasta	contig00004	225497	225657	-	etsB	1595-1755/1941	............==.	0/0	8.29	75.16	colV_zoetis		etsB	
ISLHD_2017_4_S118.fasta	contig00018	44738	46912	-	iroN	1-2178/2178	========/======	3/5	99.82	77.01	colV_zoetis		iroN	
ISLHD_2017_4_S118.fasta	contig00018	49311	52941	-	iroC	117-3735/3786	========/======	15/36	95.27	75.82	colV_zoetis		iroC	
ISLHD_2017_4_S118.fasta	contig00018	53027	54142	-	iroB	34-1149/1164	===============	0/0	95.88	78.05	colV_zoetis		iroB	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
