cgmlst_ST,cgmlst_distance,cgmlst_found_loci,cgmlst_genome_match,cgmlst_matching_alleles,cgmlst_subspecies,fasta_filepath,genome,h1,h2,o_antigen,qc_messages,qc_status,serogroup,serovar,serovar_antigen,serovar_cgmlst
2849855532,0.021212121212121238,330,SRR3344216,323,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_DB1413AA_AS.result.fasta,SAL_DB1413AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
133681306,0.018181818181818188,330,SRR1646578,324,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_EA9972AA_AS.scaffold.fasta,SAL_EA9972AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
4286256302,0.024242424242424288,330,SRR1122641,322,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_FA4127AA_AS.scaffold.fasta,SAL_FA4127AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
2253090168,0.015151515151515138,330,SRR1258606,325,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_NA5676AA_AS.scaffold.fasta,SAL_NA5676AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
4003019297,0.018181818181818188,330,SRR1965561,324,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_SB7903AA_AS.result.fasta,SAL_SB7903AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Westhampton
2741216182,0.015151515151515138,330,SRR4280580,325,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_FA0552AA_AS.scaffold.fasta,SAL_FA0552AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
1356713619,0.018181818181818188,330,SRR1122641,324,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_CB7176AA_AS.result.fasta,SAL_CB7176AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
2738862428,0.015151515151515138,330,SRR1816835,325,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_IB5551AA_AS.result.fasta,SAL_IB5551AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
3339693290,0.012121212121212088,330,SRR1816835,326,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_EA3186AA_AS.scaffold.fasta,SAL_EA3186AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
2095539168,0.015151515151515138,330,SRR1816835,325,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_LA4080AA_AS.scaffold.fasta,SAL_LA4080AA_AS.scaffold,"g,[s],t",-,"1,3,19",FAIL: Wzx/Wzy genes missing. Cannot determine O-antigen group/serogroup. Cannot accurately predict serovar from antigen genes. | INFO: Number of cgMLST330 loci found (n=330),FAIL,-,Senftenberg,Menston|Senftenberg|Okatie,Senftenberg
435490953,0.018181818181818188,330,SRR1816835,324,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_LC9375AA_AS.result.fasta,SAL_LC9375AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E1,Senftenberg,Senftenberg,Senftenberg
3543076146,0.018181818181818188,330,SRR1106404,324,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_LA5932AA_AS.scaffold.fasta,SAL_LA5932AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E1,Senftenberg,Senftenberg,Westhampton
2738862428,0.015151515151515138,330,SRR1816835,325,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_CB7023AA_AS.result.fasta,SAL_CB7023AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
3339693290,0.012121212121212088,330,SRR1816835,326,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_FA0669AA_AS.scaffold.fasta,SAL_FA0669AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
4098566974,0.018181818181818188,330,SRR1816835,324,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_IB7621AA_AS.result.fasta,SAL_IB7621AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
,0.018181818181818188,329,SRR1122641,324,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_DB9792AA_AS.result.fasta,SAL_DB9792AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=329),PASS,E4,Senftenberg,Senftenberg,Senftenberg
1924917311,0.015151515151515138,330,SRR1122641,325,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_IC9461AA_AS.result.fasta,SAL_IC9461AA_AS.result,"g,[s],t",-,"1,3,19",FAIL: Wzx/Wzy genes missing. Cannot determine O-antigen group/serogroup. Cannot accurately predict serovar from antigen genes. | INFO: Number of cgMLST330 loci found (n=330),FAIL,-,Senftenberg,Menston|Senftenberg|Okatie,Senftenberg
4098566974,0.018181818181818188,330,SRR1816835,324,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_EB3411AA_AS.result.fasta,SAL_EB3411AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
3339693290,0.012121212121212088,330,SRR1816835,326,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_EA3856AA_AS.scaffold.fasta,SAL_EA3856AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
1604493372,0.021212121212121238,330,SRR1122641,323,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_CA2743AA_AS.scaffold.fasta,SAL_CA2743AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
3857783179,0.015151515151515138,330,SRR945137,325,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_EA6458AA_AS.scaffold.fasta,SAL_EA6458AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
725262907,0.018181818181818188,330,SRR1708047,324,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_FA0425AA_AS.scaffold.fasta,SAL_FA0425AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
2423996040,0.015151515151515138,330,SRR1816835,325,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_SB7443AA_AS.result.fasta,SAL_SB7443AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
126383834,0.021212121212121238,330,SRR1968353,323,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_IC9472AA_AS.result.fasta,SAL_IC9472AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
2144764401,0.015151515151515138,330,SRR1122641,325,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_BA4032AA_AS.scaffold.fasta,SAL_BA4032AA_AS.scaffold,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
1924917311,0.015151515151515138,330,SRR1122641,325,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_SB7751AA_AS.result.fasta,SAL_SB7751AA_AS.result,"g,[s],t",-,"1,3,19",FAIL: Wzx/Wzy genes missing. Cannot determine O-antigen group/serogroup. Cannot accurately predict serovar from antigen genes. | INFO: Number of cgMLST330 loci found (n=330),FAIL,-,Senftenberg,Menston|Senftenberg|Okatie,Senftenberg
4059162378,0.012121212121212088,330,SRR3295746,326,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_LB2029AA_AS.result.fasta,SAL_LB2029AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Senftenberg
348940348,0.009090909090909038,330,SRR1965561,327,enterica,/projects/AusGEM/Users/Max/Manuscripts/UoW_Salmonella_all/Enterobase_wild_animal_Senftenbergs/SAL_KB9238AA_AS.result.fasta,SAL_KB9238AA_AS.result,"g,[s],t",-,"1,3,19",INFO: Number of cgMLST330 loci found (n=330),PASS,E4,Senftenberg,Senftenberg,Westhampton
