name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
ERR2023110	4880114	101	48317.96	535628	203	0	0	223963	8	149448	14	47999	26
ERR2173667	4745669	66	71904.08	640674	210	0	0	262339	6	149106	11	67329	21
ERR2193140	4831282	68	71048.26	640675	210	0	0	231842	7	179207	12	73743	20
ERR2215165	4885756	85	57479.48	538195	201	0	0	222633	8	145174	14	61677	25
ERR2992745	4697842	78	60228.74	495951	210	0	0	231773	8	143376	13	71740	22
ERR2992747	4659659	86	54182.08	408950	209	0	0	201243	9	140153	14	65947	24
ERR2992748	4661618	91	51226.57	590565	211	0	0	201285	9	134172	14	57077	25
ERR2992750	4659752	88	52951.73	347174	204	0	0	201243	9	137858	15	57037	24
ERR2992751	4699868	77	61037.25	503516	210	0	0	201243	9	143425	14	77211	23
ERR2992753	4659048	80	58238.10	415552	210	0	0	214442	8	143425	13	57037	23
ERR2992754	4697765	92	51062.66	623650	210	0	0	219208	8	137858	13	65947	23
ERR2992755	4659431	81	57523.84	408944	210	0	0	200963	9	138130	14	65947	24
ERR2992757	4659352	86	54178.51	503280	210	0	0	214442	8	139346	13	47873	23
ERR2992758	4659739	83	56141.43	408712	204	0	0	201243	9	138130	14	65948	24
ERR2992759	4660465	87	53568.56	409458	210	0	0	201243	9	134132	15	46340	26
ERR2992760	4660098	79	58988.58	623890	209	0	0	243029	7	143425	12	65947	22
ERR2992762	4657440	78	59710.77	503512	210	0	0	201243	8	137992	13	57037	23
ERR2992763	4661898	83	56167.45	496001	225	0	0	243068	7	175969	12	66023	21
ERR2992764	4780546	83	57596.94	495759	202	0	0	214482	8	143416	13	57616	24
ERR2992766	4659397	88	52947.69	409176	210	0	0	201243	9	138048	14	57037	24
ERR2992767	4660528	93	50113.20	393735	203	0	0	201267	9	134156	15	57061	25
ERR2992768	4700894	114	41235.91	304693	203	0	0	187058	10	93631	17	44630	30
ERR2992770	4701689	100	47016.89	408712	210	0	0	200963	9	134132	15	42691	28
ERR2992772	4694724	86	54589.81	411945	213	0	0	187592	9	119753	16	65946	26
ERR2992773	4658697	94	49560.61	408944	201	0	0	200847	9	130157	15	44375	26
ERR2992774	4661526	92	50668.76	495761	223	0	0	189718	9	121832	15	65988	26
