snp-dists 0.6.3,ISLHD_2017_10_S81,ISLHD_2017_11_S82,ISLHD_2017_12_S83,ISLHD_2017_13_S84,ISLHD_2017_14_S85,ISLHD_2017_15_S86,ISLHD_2017_16_S87,ISLHD_2017_17_S88,ISLHD_2017_18_S89,ISLHD_2017_1_S76,ISLHD_2017_2_S116,ISLHD_2017_3_S117,ISLHD_2017_4_S118,ISLHD_2017_5_S77,ISLHD_2017_6_S119,ISLHD_2017_7_S78,ISLHD_2017_8_S79,ISLHD_2017_9_S80,ISLHD_2018_10_S99,ISLHD_2018_11_S100,ISLHD_2018_12_S101,ISLHD_2018_13_S102,ISLHD_2018_14_S103,ISLHD_2018_15_S104,ISLHD_2018_16_S105,ISLHD_2018_17_S106,ISLHD_2018_1_S90,ISLHD_2018_2_S91,ISLHD_2018_3_S92,ISLHD_2018_4_S93,ISLHD_2018_5_S94,ISLHD_2018_6_S95,ISLHD_2018_7_S96,ISLHD_2018_8_S97,ISLHD_2018_9_S98,ISLHD_2019_01,ISLHD_2019_02,ISLHD_2019_03,ISLHD_2019_04,ISLHD_2019_05,ISLHD_2019_06,ISLHD_2019_07,ISLHD_2019_08,ISLHD_2019_09,ISLHD_2019_10,ISLHD_2019_11,ISLHD_2019_12,ISLHD_2019_13,ISLHD_2019_14,ISLHD_2019_15,ISLHD_2019_16,ISLHD_2019_17,ISLHD_2019_18,ISLHD_2019_19,ISLHD_2019_20,ISLHD_2019_21,ISLHD_2019_22,ISLHD_2019_23,ISLHD_2019_24,ISLHD_2019_25,ISLHD_2019_26,ISLHD_2019_27,ISLHD_2019_28,ISLHD_2019_29,ISLHD_2019_30,MD_6_A10,MD_6_A11,MD_6_A12,MD_6_A8,MD_6_A9,MD_6_B10,MD_6_B11,MD_6_B12,MD_6_B8,MD_6_B9,MD_6_C10,MD_6_C11,MD_6_C12,MD_6_C8,MD_6_C9,MD_6_D10,MD_6_D11,MD_6_D12,MD_6_D8,MD_6_D9,MD_6_E10,MD_6_E11,MD_6_E12,MD_6_E8,MD_6_E9,MD_6_F10,MD_6_F11,MD_6_F12,MD_6_F8,MD_6_F9,MD_6_G10,MD_6_G11,MD_6_G8,MD_6_G9,MD_6_H10,MD_6_H11,MD_6_H7,MD_6_H8,MD_6_H9,MD_7_A1,MD_7_A2,MD_7_A3,MD_7_B1,MD_7_B2,MD_7_C1,MD_7_C2,MD_7_D1,MD_7_D2,MD_7_E1,MD_7_E2,MD_7_F1,MD_7_F2,MD_7_G1,MD_7_G2,MD_7_H1,MD_7_H2,SG19_084_Sal,SG19_116_05_E_coli,SG19_116_Sal,SG19_171_Sal,SG19_182_Sal,SG19_233_Sal,SG19_238_Sal,SG19_269_Sal,SG19_284_Sal,SG19_288_Sal,SG19_292_Sal,SG19_298_Sal,SG19_327_Sal,SG19_334_Sal,SG19_380_Sal,SG19_397_Sal,SG19_400_Sal,SIML_2017_01,SIML_2017_02,SIML_2017_03,SIML_2017_04,SIML_2017_05,SIML_2017_06,SIML_2017_07,SIML_2017_08,SIML_2017_09,SIML_2017_10,SIML_2017_13,SIML_2017_14,SIML_2017_15,SIML_2017_16,SIML_2017_18,SIML_2017_19,SIML_2017_21,SIML_2017_22,SIML_2017_23,SIML_2017_24,SIML_2019_02,SIML_2019_04,SIML_2019_05,SIML_2019_06,SIML_2019_07,SIML_2019_08,SIML_2019_09,SIML_2019_10,SIML_2019_11,SIML_2019_12,SIML_2019_13,SIML_2019_14,SIML_2019_15,Seagull_18_100_1_S16,Seagull_18_100_2_S17,Seagull_18_117_1_S21,Seagull_18_117_2_S22,Seagull_18_117_3_S23,Seagull_18_124_1_S26,Seagull_18_132_1_S29,Seagull_18_132_2_S30,Seagull_18_163_1_S37,Seagull_18_163_2_S38,Seagull_18_165_S107,Seagull_18_172_S40,Seagull_18_190_1_S42,Seagull_18_190_2_S43,Seagull_18_206_S47,Seagull_18_220_S109,Seagull_18_240_1_S58,Seagull_18_240_2_S59,Seagull_18_255_S68,Seagull_18_90_1_S9,Seagull_18_90_2_S10,Seagull_18_96_1_S14,Seagull_18_96_2_S15,W_1_B11,W_1_C11,W_1_D11,W_1_E11,W_1_F11,W_1_G11,W_1_H11
ISLHD_2017_10_S81,0,33361,33382,33389,34283,33245,33359,33367,33348,33991,34353,33315,36973,33379,32249,34012,36650,33397,33345,33324,31241,31,33379,33370,33404,31237,33396,33964,33350,33242,33762,33831,33295,33753,33398,32265,32845,33377,32268,32244,33394,36814,33764,30374,33910,31242,30387,30385,33396,33409,31237,30394,33379,36845,34356,33359,36677,33363,33816,33806,28738,33286,33328,33964,33299,37008,33394,34272,33395,33397,33390,33397,33406,33394,33407,33386,33415,33383,33756,36689,33393,33398,29849,33394,36672,37150,33389,33286,33751,34279,33388,37023,33291,33453,31235,33397,36700,33392,33392,30764,33402,33759,37169,34351,33390,33397,29850,43,33384,33387,33395,33286,33387,33363,37166,33403,29854,29852,32262,33769,33295,33286,34661,34649,33393,34115,34662,32921,36692,32252,33297,27986,30386,37,34662,33346,27986,33348,30717,32247,33395,33765,33328,33399,33181,36820,34024,34011,30382,28333,33234,33204,33400,33409,37068,33399,33322,29817,34382,33243,33347,33724,37271,33344,33249,33242,33685,33270,33328,33283,33386,33341,33342,33628,33625,33625,36632,33965,33963,33630,33626,33630,33628,33628,33630,33623,33629,33623,33627,33626,33532,33533,33145,33144,34662,33718,30392,33716,30402,33471,31234
ISLHD_2017_11_S82,33361,0,28524,28522,27834,28117,4,28510,262,27036,27904,352,40063,28518,29955,27512,39984,387,51,240,33163,33362,28519,376,383,33155,394,27480,5,28114,26478,27820,240,14997,388,29960,390,28523,29900,29942,377,39918,15007,33270,26764,33162,33248,33270,377,390,33156,33258,28523,39989,27905,58,40001,28490,27900,27896,23342,28356,353,27463,28357,40007,385,27687,384,383,389,383,385,388,383,390,396,387,15003,40027,390,384,33241,388,40016,35302,389,28352,14983,27692,388,35169,28350,26827,33150,383,39713,383,384,32928,385,15001,35313,27900,384,385,33251,33305,388,389,384,28356,388,383,35309,387,33240,33250,29951,14988,28358,28351,28926,28909,400,27612,28926,406,39819,29896,28366,33246,33214,33350,28928,53,33251,53,25739,29943,396,15009,360,384,28070,39916,27511,27511,33243,33926,28104,28076,387,389,39751,398,239,32778,27948,28115,52,26632,40290,367,28118,28120,8700,28146,353,28360,28525,366,366,644,645,646,40029,30425,30419,647,646,646,645,645,645,645,645,645,647,645,560,561,28334,28332,30346,26903,33280,26901,33276,26844,33154
ISLHD_2017_12_S83,33382,28524,0,6,29390,28885,28523,10,28509,29246,29462,28456,40082,18,30263,28865,39783,28562,28514,28487,32777,33384,94,28551,28567,32770,28572,28836,28522,28884,28639,29127,28470,28612,28556,30272,28060,34,30212,30220,28558,39882,28618,33072,28945,32776,33067,33079,28559,28573,32766,33082,4,39818,29461,28519,39806,225,29157,29150,24464,30100,28495,28823,30113,39788,28559,29225,28555,28557,28553,28556,28560,28561,28564,28555,28582,28554,28618,39827,28557,28563,32616,28560,39808,35313,28557,30111,28600,29232,28560,35177,30107,28784,32773,28561,39512,28555,28558,32747,28563,28616,35326,29461,28559,28559,32632,33328,28554,28559,28560,30104,28556,28539,35337,28560,32623,32635,30261,28605,30114,30104,29927,29902,28582,28914,29919,28193,39577,30206,30117,33294,33040,33373,29924,28516,33302,28518,26531,30257,28578,28624,28493,28566,28835,39880,28866,28857,33063,33918,28878,28851,28561,28569,39812,28581,28487,32759,29482,28888,28517,29138,40044,28508,28891,28891,28671,28925,28496,30102,11,28511,28510,28816,28816,28817,39886,30911,30918,28818,28817,28815,28817,28816,28815,28814,28817,28810,28810,28815,28726,28727,29641,29638,30609,28381,33089,28376,33083,28792,32771
ISLHD_2017_13_S84,33389,28522,6,0,29385,28882,28524,8,28509,29249,29459,28453,40081,16,30261,28868,39789,28559,28511,28487,32778,33390,92,28550,28567,32770,28573,28838,28522,28887,28645,29126,28468,28613,28557,30269,28057,30,30209,30218,28558,39875,28618,33076,28944,32777,33073,33083,28560,28575,32767,33087,2,39821,29458,28520,39810,221,29155,29148,24462,30096,28497,28825,30114,39795,28560,29228,28556,28559,28554,28558,28561,28559,28562,28555,28583,28554,28618,39832,28559,28563,32627,28560,39813,35314,28556,30106,28599,29236,28560,35177,30107,28785,32774,28560,39519,28554,28557,32745,28564,28616,35325,29456,28559,28559,32639,33334,28554,28556,28561,30099,28556,28537,35335,28561,32633,32641,30258,28606,30113,30101,29929,29908,28582,28915,29922,28192,39577,30205,30112,33297,33044,33381,29927,28516,33304,28515,26531,30254,28580,28624,28492,28567,28838,39875,28870,28860,33069,33918,28880,28854,28563,28571,39814,28583,28487,32762,29479,28890,28513,29141,40045,28508,28894,28891,28671,28927,28494,30096,9,28510,28509,28818,28814,28815,39890,30910,30916,28820,28819,28815,28819,28815,28816,28815,28819,28812,28810,28818,28724,28725,29640,29643,30620,28388,33092,28383,33087,28795,32770
ISLHD_2017_14_S85,34283,27834,29390,29385,0,28955,27841,29371,27831,28084,91,27765,39961,29385,30051,26676,39751,27882,27824,27806,33810,34281,29371,27865,27893,33803,27872,26636,27834,28950,28111,28875,27794,27797,27879,30061,27292,29377,29980,30009,27882,39577,27803,33728,27935,33808,33724,33740,27881,27898,33801,33731,29383,39796,87,27834,39744,29344,28523,28520,23184,30158,27811,26627,30174,39833,27878,28495,27876,27879,27875,27878,27882,27882,27885,27871,27897,27871,27804,39788,27879,27882,33444,27880,39746,36009,27873,30165,27794,28499,27878,35859,30165,28206,33803,27882,39446,27872,27879,33622,27884,27801,36021,85,27877,27879,33457,34203,27874,27879,27879,30165,27878,27865,36026,27882,33450,33461,30043,27804,30171,30160,28955,28933,27893,28708,28950,27448,39598,29973,30171,33849,33666,34273,28952,27827,33856,27828,26681,30039,27886,27813,27811,27893,28897,39580,26675,26673,33722,34535,28944,28923,27881,27892,39725,27888,27807,33545,234,28953,27826,28238,39915,27820,28957,28961,27563,28998,27811,30161,29391,27826,27826,28128,28125,28125,39844,31004,31008,28131,28129,28129,28128,28128,28131,28126,28129,28110,28112,28127,28034,28035,29207,29208,30564,28121,33749,28119,33742,28228,33801
ISLHD_2017_15_S86,33245,28117,28885,28882,28955,0,28114,28880,28107,28408,29022,28081,40000,28887,29378,28466,39864,28157,28109,28085,33004,33243,28890,28135,28163,32997,28169,28430,28113,70,27809,28801,28068,27643,28151,29382,27696,28876,29321,29374,28150,39993,27655,33390,28343,33003,33385,33395,28145,28164,32999,33394,28880,39691,29022,28115,39884,28854,28432,28433,20109,29618,28090,28416,29622,39989,28151,28540,28154,28155,28140,28155,28162,28146,28163,28141,28185,28139,27653,39910,28136,28158,32930,28146,39890,35613,28140,29616,27643,28541,28140,35464,29615,27752,32998,28153,39903,28155,28150,32897,28159,27653,35622,29011,28148,28155,32945,33167,28139,28146,28152,29621,28143,28131,35625,28160,32934,32948,29362,27654,29625,29620,29299,29286,28177,28875,29304,27776,39679,29318,29629,33213,33348,33235,29302,28104,33221,28111,284,29365,28172,27654,28092,28156,105,40003,28464,28462,33384,33804,69,313,28157,28165,39932,28180,28077,32827,29069,64,28111,28244,40372,28105,92,92,28169,170,28093,29622,28884,28107,28106,28394,28395,28396,39903,30413,30408,28395,28395,28401,28398,28400,28401,28398,28398,28382,28389,28394,28307,28308,28094,28093,30438,27819,33409,27816,33403,27769,32996
ISLHD_2017_16_S87,33359,4,28523,28524,27841,28114,0,28508,260,27035,27907,350,40069,28519,29957,27515,39992,385,49,238,33166,33360,28520,374,381,33158,392,27485,5,28114,26479,27830,238,14997,387,29960,388,28523,29900,29941,375,39922,15006,33269,26767,33168,33257,33269,376,389,33159,33267,28523,39999,27908,56,40011,28491,27904,27900,23345,28359,351,27469,28363,40015,384,27689,382,381,387,381,384,387,382,388,395,385,15005,40034,389,382,33243,386,40025,35303,387,28358,14981,27696,386,35174,28356,26836,33152,381,39712,381,382,32931,384,15001,35319,27907,383,383,33255,33304,386,387,383,28359,386,381,35315,386,33245,33258,29955,14990,28363,28355,28928,28909,398,27608,28925,404,39828,29897,28366,33248,33213,33348,28929,51,33253,51,25738,29947,395,15008,358,383,28072,39921,27514,27514,33254,33924,28105,28077,386,387,39755,397,237,32782,27951,28117,50,26630,40299,365,28118,28119,8698,28148,351,28361,28524,364,364,643,642,643,40041,30432,30426,645,644,643,644,642,643,642,644,644,644,643,558,559,28333,28333,30344,26900,33283,26898,33275,26847,33157
ISLHD_2017_17_S88,33367,28510,10,8,29371,28880,28508,0,28495,29242,29445,28442,40078,12,30256,28853,39774,28548,28502,28473,32770,33371,88,28537,28553,32761,28558,28816,28508,28875,28640,29117,28456,28593,28541,30261,28044,28,30203,30210,28544,39859,28602,33053,28935,32766,33044,33061,28542,28556,32758,33060,6,39816,29448,28505,39797,220,29135,29137,24437,30085,28480,28808,30095,39780,28542,29215,28541,28543,28539,28542,28546,28547,28550,28541,28565,28540,28599,39819,28542,28547,32599,28546,39798,35302,28543,30091,28581,29222,28544,35156,30089,28772,32765,28544,39512,28541,28541,32740,28546,28597,35305,29441,28540,28545,32614,33312,28540,28545,28542,30090,28542,28525,35320,28546,32605,32617,30244,28586,30097,30091,29914,29897,28568,28905,29914,28179,39560,30202,30104,33279,33022,33358,29915,28499,33286,28505,26528,30244,28561,28605,28479,28551,28827,39864,28848,28844,33040,33906,28867,28840,28544,28555,39811,28564,28469,32745,29466,28878,28505,29129,40023,28494,28880,28883,28652,28914,28482,30091,5,28497,28496,28799,28801,28802,39876,30897,30898,28802,28801,28802,28800,28803,28802,28799,28800,28793,28797,28798,28715,28716,29628,29631,30614,28368,33068,28363,33066,28787,32761
ISLHD_2017_18_S89,33348,262,28509,28509,27831,28107,260,28495,0,27028,27900,344,40066,28504,29950,27502,39990,380,251,42,33154,33349,28506,368,377,33146,390,27471,263,28103,26471,27820,64,14992,381,29953,383,28509,29893,29931,371,39923,15001,33256,26760,33156,33240,33257,370,383,33147,33249,28508,39999,27901,258,40008,28477,27889,27885,23336,28347,344,27455,28351,40011,378,27675,377,376,382,376,379,382,377,383,392,380,15000,40046,383,377,33235,381,40032,35302,382,28346,14976,27682,381,35172,28343,26827,33141,376,39712,377,377,32916,379,14996,35315,27899,377,378,33247,33294,381,383,377,28347,381,376,35313,381,33237,33249,29946,14985,28351,28343,28912,28894,391,27596,28910,403,39821,29891,28355,33236,33201,33337,28913,253,33241,253,25720,29938,392,15003,352,378,28061,39920,27502,27501,33236,33914,28093,28067,381,382,39755,394,41,32769,27945,28107,252,26620,40292,359,28108,28108,8692,28136,344,28350,28508,358,358,635,635,636,40035,30423,30416,637,636,637,637,635,636,636,637,637,638,637,551,552,28316,28316,30324,26888,33270,26886,33262,26837,33145
ISLHD_2017_1_S76,33991,27036,29246,29249,28084,28408,27035,29242,27028,0,28134,26996,39467,29249,29702,29015,39354,27067,27022,27007,33734,33991,29267,27069,27073,33731,27087,28974,27033,28404,4807,28605,26994,26520,27062,29706,26645,29252,29679,29685,27063,39203,26521,33550,27207,33730,33552,33547,27065,27080,33728,33570,29243,39334,28133,27035,39381,29243,28612,28612,23436,29259,27006,28970,29265,39014,27068,27963,27064,27066,27057,27066,27069,27061,27071,27055,27098,27053,26527,39393,27060,27071,33391,27063,39376,35541,27054,29260,26499,27965,27063,35416,29259,26412,33727,27068,39214,27060,27065,33632,27072,26523,35553,28133,27065,27067,33402,33858,27056,27056,27067,29258,27059,27044,35551,27069,33394,33405,29692,26510,29266,29262,29315,29300,27085,27552,29316,26636,39065,29677,29269,33768,33438,33979,29317,27027,33771,27028,26119,29693,27089,26530,27011,27071,28348,39214,29012,29014,33550,34364,28400,28361,27071,27077,39171,27092,27009,33247,28158,28408,27024,27374,39483,27019,28411,28412,27640,28440,27008,29259,29251,27020,27019,27274,27271,27272,39414,31150,31145,27276,27275,27274,27275,27273,27273,27271,27275,27273,27273,27273,27173,27174,28384,28386,30519,28238,33565,28236,33579,26422,33727
