snp-dists 0.6.3,ISLHD_2017_6_S119,ISLHD_2019_01,ISLHD_2019_04,ISLHD_2019_05,MD_7_G2,SG19_284_Sal,SIML_2017_02
ISLHD_2017_6_S119,0,10,1100,34,31,1047,24
ISLHD_2019_01,10,0,1096,36,33,1051,26
ISLHD_2019_04,1100,1096,0,1096,1099,285,1096
ISLHD_2019_05,34,36,1096,0,35,1047,24
MD_7_G2,31,33,1099,35,0,1050,17
SG19_284_Sal,1047,1051,285,1047,1050,0,1039
SIML_2017_02,24,26,1096,24,17,1039,0
