name	Metal	Virulence	Biocide	Heat
SRR7998201	golS,golT	iroB,iroC,sinH		
SRR4419666	golS,golT	iroB,iroC,sinH		
ISLHD_2019_28	arsA,arsB,arsC,arsD,arsR,golS,golT,merC,merP,merR,merT,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	iroB,iroC,sinH		
SRR14144466	golS,golT	iroB,iroC,sinH		
SRR14144317	golS,golT	iroB,iroC,sinH		
W_1_C11	golS,golT	iroB,iroC,sinH		
ERR2992794	golS,golT	iroB,iroC,sinH		
ISLHD_2019_22	golS,golT	cdtB,iroB,iroC,sinH		
W_1_E11	golS,golT	iroB,iroC,sinH		
ERR2992779	golS,golT	iroB,iroC,sinH		
SRR14144279	golS,golT	iroB,iroC,sinH		
SRR7841404	golS,golT	iroB,iroC,sinH		
SRR10968170	golS,golT	iroB,iroC,sinH		
SRR14143194	golS,golT	iroB,iroC,sinH		
SRR1968955	golS,golT	iroB,iroC,sinH		
Seagull_18_90_1_S9	golS,golT	iroB,iroC,sinH		
SRR14347851	golS,golT	iroB,iroC,sinH		
MD_6_B11	golS,golT	iroB,iroC,sinH		
SRR3476810	golS,golT	iroB,iroC,sinH		
SG19_269_Sal	golS,golT	cdtB,iroB,iroC,sinH		
SRR7416357	golS,golT	iroB,iroC,sinH		
ISLHD_2017_4_S118	golS,golT,merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoE,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	cdtB,iroB,iroC,sinH	qacL	
SRR4419684	golS,golT	iroB,iroC,sinH		
MD_6_E10	golS,golT	cdtB,iroB,iroC,sinH		
SRR1645496	golS,golT	iroB,iroC,sinH		
SRR3476794	golS,golT	iroB,iroC,sinH		
SRR4419673	golS,golT	iroB,iroC,sinH		
SRR14145184	golS,golT	iroB,iroC,sinH		
SRR7426956	golS,golT	iroB,iroC,sinH		
ERR2992792	golS,golT	iroB,iroC,sinH		
SRR14143690	golS,golT	iroB,iroC,sinH		
ERR2992800	golS,golT	iroB,iroC,sinH		
SRR1645499	golS,golT	iroB,iroC,sinH		
Seagull_18_132_1_S29	golS,golT	iroB,iroC,sinH		
MD_6_C8	golS,golT	iroB,iroC,sinH		
SRR3476845	golS,golT	iroB,iroC,sinH		
SIML_2017_14	golS,golT	iroB,iroC,sinH	qacL	
SRR14144439	golS,golT	iroB,iroC,sinH		
SRR7274986	golS,golT	iroB,iroC,sinH		
MD_7_D2	golS,golT	iroB,iroC,sinH		
ISLHD_2019_03	golS,golT	iroB,iroC,sinH		
ERR2992819	golS,golT	iroB,iroC,sinH		
MD_6_G8	golS,golT	iroB,iroC,sinH		
MD_7_F2	golS,golT	iroB,iroC,mchF,sinH		
SRR14144384	golS,golT	iroB,iroC,sinH		
SRR14144457	golS,golT	iroB,iroC,sinH		
ISLHD_2019_02	golS,golT	iroB,iroC,sinH		
SRR14144375	golS,golT	iroB,iroC,sinH		
SRR14334838	golS,golT	iroB,iroC,sinH		
SRR14144084	golS,golT	iroB,iroC,sinH		
SRR14143183	golS,golT	iroB,iroC,sinH		
SRR14144453	golS,golT	iroB,iroC,sinH		
SRR7468919	golS,golT	iroB,iroC,sinH		
SRR7351456	golS,golT	iroB,iroC,sinH		
ISLHD_2019_27	golS,golT	iroB,iroC,sinH		
MD_6_C9	golS,golT	cdtB,iroB,iroC,sinH		
MD_6_H9	golS,golT	iroB,iroC,sinH		
MD_6_B9	golS,golT	iroB,iroC,sinH		
ISLHD_2019_08	golS,golT	iroB,iroC,sinH		
SRR14144425	golS,golT	iroB,iroC,sinH		
MD_6_D11	golS,golT	iroB,iroC,sinH		
MD_7_E2	golS,golT	cdtB,iroB,iroC,sinH		
ISLHD_2017_5_S77	golS,golT	iroB,iroC,sinH		
SRR4419686	golS,golT	iroB,iroC,sinH		
SG19_288_Sal	golS,golT	iroB,iroC,sinH		
ERR2992799	golS,golT	iroB,iroC,sinH		
SRR8715615	golS,golT	iroB,iroC,sinH		
SRR3476830	golS,golT	iroB,iroC,sinH		
ERR2992778	golS,golT	iroB,iroC,sinH		
SRR10900174	golS,golT	iroB,iroC,sinH		
SRR14143200	golS,golT	iroB,iroC,sinH		
ERR2173667	golS,golT	iroB,iroC,sinH		
SRR14144442	golS,golT	iroB,iroC,sinH		
SRR14144446	golS,golT	iroB,iroC,sinH		
SRR14144479	golS,golT	iroB,iroC,sinH		
Seagull_18_96_1_S14	golS,golT	iroB,iroC,sinH		
SG19_397_Sal	golS,golT	iroB,iroC,sinH	qacEdelta1	
MD_6_F12	golS,golT	iroB,iroC,sinH		
SRR7292963	golS,golT	iroB,iroC,sinH		
SRR7451162	golS,golT	iroB,iroC,sinH		
ERR2992811	golS,golT	iroB,iroC,sinH		
ISLHD_2019_10	golS,golT	iroB,iroC,sinH		
SRR8142798	golS,golT	iroB,iroC,sinH		
SRR14142982	golS,golT	iroB,iroC,sinH		
SRR14144624	golS,golT	iroB,iroC,sinH		
SG19_116_05_E_coli	golS,golT	iroB,iroC,sinH		
Seagull_18_154_S34	arsC,golS,golT,pcoS,terD,terW,terZ	iroB,iroC,sinH	qacE,qacG2	
ERR2992766	golS,golT	iroB,iroC,sinH		
SRR14145386	golS,golT	iroB,iroC,sinH		
SRR7444218	golS,golT	iroB,iroC,sinH		
SRR3476809	golS,golT	iroB,iroC,sinH		
SIML_2017_22	golS,golT	iroB,iroC,sinH		
Seagull_18_132_2_S30	golS,golT	iroB,iroC,sinH		
SRR7884502	golS,golT	iroB,iroC,sinH		
SRR4419679	golS,golT	iroB,iroC,sinH		
ERR2992816	golS,golT	iroB,iroC,sinH		
MD_6_F11	golS,golT	cdtB,iroB,iroC,sinH		
MD_7_H2	golS,golT	iroB,iroC,sinH		
ERR2992815	golS,golT	iroB,iroC,sinH		
SRR14145156	golS,golT	iroB,iroC,sinH		
SRR8369269	golS,golT	iroB,iroC,sinH		
MD_6_G11	golS,golT	cdtB,iroB,iroC,mchF,sinH		
MD_6_F9	golS,golT	iroB,iroC,sinH		
ERR2992773	golS,golT	iroB,iroC,sinH		
SG19_327_Sal	golS,golT	iroB,iroC,sinH		
Seagull_18_206_S47	golS,golT	iroB,iroC,sinH		
SRR1645497	golS,golT	iroB,iroC,sinH		
