name	Database	SPI	Identity	Query / Template length	Contig	Position in contig	Organism	Insertion Site	Category Function	Note	Accession number
SRR7998201	SPI	SPI-2	99.74	384 / 384		NA..NA	Salmonella-enterica-Paratyphi_A-Spa11	-	23		JN673269
SRR7998201	SPI	SPI-3	99.05	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
SRR7998201	SPI	SPI-8	97.49	6887 / 6885		NA..NA	Salmonella-enterica-Typhi-CT18	tRNA-phe	21	gi|16758993:3132530-3139414 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
SRR7998201	SPI	SPI-9	98.2	15697 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
SRR4419666	SPI	CS54_island	99.92	25254 / 25252		NA..NA	Salmonella-enterica-Typhimurium-ATCC_14028	xseA-yfgK	29		AF140550
SRR4419666	SPI	SPI-1	95.23	421 / 440		NA..NA	Salmonella-enterica-Gallinarum-SGB_1	Not_published	5		AY956822
SRR4419666	SPI	SPI-1	97.44	431 / 430		NA..NA	Salmonella-enterica-Gallinarum-SGE_2	Not_published	5		AY956823
SRR4419666	SPI	SPI-1	96.39	411 / 415		NA..NA	Salmonella-enterica-Gallinarum-SGB_8	Not_published	5		AY956825
SRR4419666	SPI	SPI-1	99.22	259 / 257		NA..NA	Salmonella-enterica-Typhimurium-J4STEHO	-	27		JN982040
SRR4419666	SPI	SPI-1	99.98	44279 / 44279		NA..NA	Salmonella-Typhimurium-LT2	fhlA-mutS	5	gi|16763390:3005842-3050120 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR4419666	SPI	SPI-1	95.3	1093 / 1085		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: AF148689,U16303	U16278
SRR4419666	SPI	SPI-1	96.31	3045 / 3141		NA..NA	Salmonella-enterica-Typhimurium-SL1344	fhlA/mutS	5	N.B. This record is part of a PAI which includes several records: U16278,AF148689	U16303
SRR4419666	SPI	SPI-13	100.0	404 / 404		NA..NA	Salmonella-enterica-Gallinarum-SGG_1	tRNA-pheV	11		AY956833
SRR4419666	SPI	SPI-13	99.41	341 / 341		NA..NA	Salmonella-enterica-Gallinarum-SGA_10	tRNA-pheV	10		AY956834
SRR4419666	SPI	SPI-14	100.0	501 / 501		NA..NA	Salmonella-enterica-Gallinarum-SGA_8	Not_published	12		AY956835
SRR4419666	SPI	SPI-14	99.55	441 / 441		NA..NA	Salmonella-enterica-Gallinarum-SGC_8	Not_published	13		AY956836
SRR4419666	SPI	SPI-2	99.97	40071 / 40071		NA..NA	Salmonella-Typhimurium-LT2	tRNA-valV	14	gi|16763390:1461740-1501810 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR4419666	SPI	SPI-3	100.0	738 / 738		NA..NA	Salmonella-enterica-Typhimurium-14028s	tRNA_selC	15	N.B. This record is part of a PAI which includes several records: AF106566,Y13864	AJ000509
SRR4419666	SPI	SPI-3	99.93	16608 / 16616		NA..NA	Salmonella-Typhimurium-LT2	tRNA-selC	15	gi|16763390:3948576-3965191 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR4419666	SPI	SPI-4	99.74	24596 / 24660		NA..NA	Salmonella-enterica-Typhimurium-ST4/74	Not_published	17		AJ576316
SRR4419666	SPI	SPI-5	100.0	9069 / 9069		NA..NA	Salmonella-Typhimurium-LT2	tRNA-serT	18	gi|16763390:1175321-1184389 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
SRR4419666	SPI	SPI-6	99.6	5780 / 5780		NA..NA	Salmonella-enterica-Enteritidis-	tRNA-pheV	24		AF376036
SRR4419666	SPI	SPI-9	98.34	15697 / 15696		NA..NA	Salmonella-Typhi-CT18	Not_published	22	gi|16758993:2743495-2759190 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003198
ISLHD_2019_28	SPI	CS54_island	99.92	25255 / 25252		NA..NA	Salmonella-enterica-Typhimurium-ATCC_14028	xseA-yfgK	29		AF140550
ISLHD_2019_28	SPI	SPI-1	100.0	44279 / 44279		NA..NA	Salmonella-Typhimurium-LT2	fhlA-mutS	5	gi|16763390:3005842-3050120 - go to http://www.paidb.re.kr/about_paidb.php for link to partial flatfile	NC_003197
