snp-dists 0.6.3,SIML_2017_04,MD_7_B2,MD_6_A8,MD_6_D11,SG19_233_Sal,ISLHD_2017_16_S87,ISLHD_2018_16_S105,MD_6_G10,SIML_2019_06,ISLHD_2018_17_S106,MD_6_F10,ISLHD_2019_20,ISLHD_2018_4_S93,ISLHD_2017_12_S83,ISLHD_2017_1_S76,Seagull_18_220_S109,SG19_238_Sal,Seagull_18_206_S47,MD_6_G9,ISLHD_2019_14,SIML_2017_07,ISLHD_2018_11_S100,MD_6_G11,SIML_2017_21,SIML_2019_14,ISLHD_2017_10_S81,MD_7_D2,MD_7_F2,ISLHD_2017_6_S119,ISLHD_2018_2_S91,MD_6_A11,SIML_2017_16,Seagull_18_255_S68,MD_6_E8,Seagull_18_163_1_S37,Seagull_18_172_S40,ISLHD_2019_17,W_1_D11,MD_7_G1,SG19_397_Sal,SG19_084_Sal,ISLHD_2019_30,W_1_F11,SIML_2017_13,SG19_284_Sal,ISLHD_2018_15_S104,ISLHD_2019_09,W_1_C11,SG19_288_Sal,MD_6_H10,MD_7_H2,ISLHD_2019_06,W_1_H11,MD_6_D9,SG19_182_Sal,SG19_298_Sal,SIML_2017_24,ISLHD_2019_27,SIML_2017_17,MD_6_H8,ISLHD_2017_14_S85,ISLHD_2019_15,MD_6_C10,SIML_2017_22,MD_6_B9,SIML_2017_18,ISLHD_2017_9_S80,ISLHD_2019_29,MD_6_C9,ISLHD_2019_28,SG19_380_Sal,MD_6_C12,MD_6_H11,SIML_2019_09,MD_6_F12,ISLHD_2018_5_S94,SG19_334_Sal,ISLHD_2019_03,MD_7_A2,Seagull_18_96_1_S14,ISLHD_2017_11_S82,MD_7_A1,ISLHD_2019_22,Seagull_18_124_1_S26,SIML_2019_04,ISLHD_2019_19,SIML_2017_02,SIML_2017_10,SG19_269_Sal,ISLHD_2018_6_S95,ISLHD_2017_8_S79,ISLHD_2017_2_S116,ISLHD_2017_18_S89,SIML_2017_08,W_1_B11,SIML_2019_11,SIML_2017_01,ISLHD_2017_7_S78,SIML_2019_15,MD_6_H9,SG19_171_Sal,MD_6_A9,SIML_2017_05,MD_7_G2,Seagull_18_240_1_S58,ISLHD_2019_18,MD_7_F1,ISLHD_2019_16,ISLHD_2019_10,ISLHD_2019_08,Seagull_18_132_1_S29,ISLHD_2018_10_S99,SIML_2019_13,W_1_G11,Seagull_18_90_1_S9,ISLHD_2017_15_S86,ISLHD_2019_23,ISLHD_2018_3_S92,SG19_400_Sal,SG19_116_05_E_coli,ISLHD_2017_3_S117,MD_6_B12,ISLHD_2018_12_S101,MD_6_B8,Seagull_18_165_S107,MD_6_A12,MD_6_E12,MD_6_B10,ISLHD_2018_9_S98,MD_6_F9,ISLHD_2019_01,ISLHD_2019_11,MD_7_A3,ISLHD_2017_17_S88,SIML_2019_07,ISLHD_2019_12,ISLHD_2018_8_S97,MD_6_C8,MD_6_E11,W_1_E11,SIML_2019_08,ISLHD_2017_5_S77,MD_6_D8,ISLHD_2019_13,MD_7_C2,MD_7_C1,MD_7_E2,MD_6_D12,MD_6_E9,MD_6_E10,ISLHD_2017_13_S84,SIML_2017_23,ISLHD_2019_07,SG19_116_Sal,SIML_2017_14,SIML_2019_03,ISLHD_2019_24,ISLHD_2018_7_S96,SIML_2019_10,SIML_2019_12,SIML_2017_06,SG19_292_Sal,ISLHD_2019_21,SIML_2017_15,SG19_327_Sal,ISLHD_2017_4_S118,SIML_2017_09,SIML_2017_03,MD_6_C11,Seagull_18_100_1_S16,ISLHD_2019_05,ISLHD_2019_04,SIML_2017_11,ISLHD_2018_13_S102,Seagull_18_117_1_S21,ISLHD_2019_02,MD_6_F8,ISLHD_2019_25,SIML_2017_19,ISLHD_2018_14_S103,MD_6_H7,MD_6_G8,MD_6_F11,SIML_2019_05,MD_6_B11,MD_7_B1,Seagull_18_190_1_S42,SIML_2019_02,ISLHD_2018_1_S90,MD_7_D1,ISLHD_2019_26
SIML_2017_04,0,14496,14489,14489,27188,14431,14497,14488,26056,32140,14495,28120,27676,27815,26634,14741,15761,14741,14489,14599,27675,14407,39564,38832,28618,33778,14609,32367,29619,27009,14489,27640,14741,57,14742,14742,33596,33602,32366,32739,28730,28627,33597,33588,29547,14460,33602,26693,28738,31921,28624,14485,32138,38816,27354,33613,33537,28618,14607,35839,28216,14616,14497,14507,14602,14493,14493,26997,38816,14547,14428,14495,14489,27679,28615,25459,27192,27805,14490,27920,14432,14489,38827,38706,27675,39298,29547,27153,39836,27345,38877,28123,14542,39862,29678,14176,27640,27160,27811,28186,14513,14488,14553,29548,14742,27811,14492,32139,26275,74,29901,14426,14546,25774,14741,27679,27812,14547,14428,27188,14431,14605,32143,14495,14742,26530,28615,14496,14497,32142,29553,32142,32434,27810,39332,33591,59,65,14496,26694,14447,27813,14495,33598,14489,14610,35839,32366,26533,35840,27811,14406,39862,27188,33305,130377,27357,14419,27679,27665,14494,32740,14428,27675,33593,39030,27039,14505,14505,14558,29546,29540,32394,33604,14741,14503,25795,27470,14496,27805,65,14488,36259,14426,14488,33598,14855,28141,14503,28615,27736
MD_7_B2,14496,0,50,50,27644,374,65,49,26173,32324,1,28407,28284,28005,27299,503,1330,503,50,171,28283,348,39589,38968,28549,33743,115,32568,29888,27007,50,28249,503,14471,504,504,33844,33850,32567,32958,28661,28558,33845,33826,29776,409,33850,26948,28667,31966,28555,57,32322,38958,27770,33861,33754,28549,169,35689,28505,186,3,299,163,54,54,26994,38958,529,369,3,50,28287,28546,26220,27648,28005,51,28089,375,50,38969,38835,28283,39472,29814,27151,39908,27549,39009,28410,484,39826,30065,8554,28249,27158,28001,28475,169,49,535,29815,504,28001,53,32323,26981,14498,30002,367,530,26159,503,28287,28000,490,369,27644,413,166,32327,1,504,26811,28546,2,57,32326,29820,32326,32637,28000,39371,33829,14483,14489,2,26949,429,28003,1,33846,50,116,35689,32567,26814,35690,28001,347,39826,27644,33227,130424,27540,360,28287,28273,66,32959,369,28283,33558,39233,27037,297,297,540,29813,29769,32595,33569,503,295,26179,27653,57,27995,14489,49,36109,369,49,33563,617,28429,295,28546,28102
MD_6_A8,14489,50,0,0,27635,366,57,1,26166,32317,49,28401,28280,27998,27296,495,1282,495,2,163,28279,340,39582,38960,28542,33738,163,32561,29881,27004,2,28245,495,14464,496,496,33836,33842,32560,32951,28654,28551,33837,33818,29769,401,33842,26939,28660,31959,28548,49,32315,38949,27763,33853,33747,28542,141,35681,28499,178,51,291,115,6,6,26991,38949,521,361,49,2,28283,28539,26215,27639,27998,3,28081,367,2,38960,38826,28279,39464,29807,27148,39901,27543,39000,28404,476,39818,30060,8546,28245,27155,27994,28469,161,1,527,29808,496,27994,5,32316,26975,14491,29996,359,522,26152,495,28283,27993,482,361,27635,405,118,32320,49,496,26806,28539,50,31,32319,29813,32319,32630,27993,39363,33821,14476,14482,50,26940,421,27996,49,33838,2,164,35681,32560,26809,35682,27994,339,39818,27635,33220,130417,27537,352,28283,28269,58,32952,361,28279,33553,39225,27034,289,289,532,29806,29762,32588,33564,495,287,26172,27650,29,27988,14482,1,36101,361,1,33558,609,28423,287,28539,28094
MD_6_D11,14489,50,0,0,27635,366,57,1,26166,32317,49,28401,28280,27998,27296,495,1282,495,2,163,28279,340,39582,38960,28542,33738,163,32561,29881,27004,2,28245,495,14464,496,496,33836,33842,32560,32951,28654,28551,33837,33818,29769,401,33842,26939,28660,31959,28548,49,32315,38949,27763,33853,33747,28542,141,35681,28499,178,51,291,115,6,6,26991,38949,521,361,49,2,28283,28539,26215,27639,27998,3,28081,367,2,38960,38826,28279,39464,29807,27148,39901,27543,39000,28404,476,39818,30060,8546,28245,27155,27994,28469,161,1,527,29808,496,27994,5,32316,26975,14491,29996,359,522,26152,495,28283,27993,482,361,27635,405,118,32320,49,496,26806,28539,50,31,32319,29813,32319,32630,27993,39363,33821,14476,14482,50,26940,421,27996,49,33838,2,164,35681,32560,26809,35682,27994,339,39818,27635,33220,130417,27537,352,28283,28269,58,32952,361,28279,33553,39225,27034,289,289,532,29806,29762,32588,33564,495,287,26172,27650,29,27988,14482,1,36101,361,1,33558,609,28423,287,28539,28094
SG19_233_Sal,27188,27644,27635,27635,0,27574,27643,27635,27747,32734,27643,28971,29166,28680,29200,27882,28890,27882,27636,27745,29165,27545,39933,39407,30028,34612,27757,33172,30122,28306,27636,29131,27882,27173,27883,27883,34389,34395,33171,33488,30140,30037,34390,34381,30018,27597,34395,28394,30148,32584,30034,27631,32732,39280,28867,34405,34520,30028,27753,35484,29064,27762,27645,27648,27749,27640,27640,28296,39280,27685,27569,27643,27636,29169,30025,28241,4,28670,27637,29012,27575,27636,39289,39098,29165,39614,30049,28449,40231,28417,39340,28974,27681,40325,28824,27849,29131,28458,28676,29034,27659,27635,27691,30050,27883,28676,27639,32733,28622,27190,30038,27567,27684,27613,27882,29170,28672,27689,27569,0,27569,27752,32737,27643,27883,24417,30025,27644,27643,32736,30055,32736,33240,28675,39618,34384,27175,27181,27644,28395,27583,28681,27643,34391,27636,27758,35484,33171,24420,35485,28676,27544,40325,0,33801,130283,28166,27559,29169,29155,27640,33489,27569,29165,34421,39695,28335,27646,27646,27696,30048,30011,33200,34432,27882,27644,27638,28279,27643,28670,27181,27635,35906,27567,27635,34427,27996,28993,27644,30025,28975
ISLHD_2017_16_S87,14431,374,366,366,27574,0,373,365,26105,32259,373,28343,28220,27938,27242,619,1646,619,366,475,28219,224,39527,38907,28487,33687,487,32505,29828,26940,366,28185,619,14406,620,620,33776,33782,32504,32890,28599,28496,33777,33758,29716,345,33782,26883,28605,31906,28493,361,32257,38901,27708,33793,33685,28487,485,35621,28441,494,375,379,479,370,370,26927,38901,465,53,373,366,28223,28484,26159,27578,27938,367,28025,3,366,38912,38777,28219,39410,29754,27084,39850,27487,38952,28346,360,39761,30006,8488,28185,27091,27934,28411,389,365,471,29755,620,27934,369,32258,26918,14433,29941,51,466,26087,619,28223,27933,118,53,27574,349,482,32262,373,620,26748,28484,374,373,32261,29760,32261,32574,27933,39313,33761,14418,14424,374,26884,365,27936,373,33778,366,488,35621,32504,26751,35622,27934,223,39761,27574,33160,130355,27485,236,28223,28209,370,32891,53,28219,33502,39170,26970,377,377,476,29753,29709,32532,33513,619,375,26107,27598,373,27928,14424,365,36041,53,365,33507,733,28365,375,28484,28033
ISLHD_2018_16_S105,14497,65,57,57,27643,373,0,56,26174,32324,64,28412,28287,28005,27303,502,1337,502,57,170,28286,347,39589,38966,28549,33745,178,32570,29891,27011,57,28252,502,14472,503,503,33843,33849,32569,32958,28661,28558,33844,33825,29779,408,33849,26947,28667,31968,28555,56,32322,38957,27774,33860,33754,28549,176,35689,28510,125,66,298,170,61,61,26998,38957,528,368,64,57,28290,28546,26224,27647,28005,58,28088,374,57,38968,38834,28286,39471,29817,27155,39906,27550,39008,28415,483,39826,30071,8553,28252,27162,28001,28480,168,56,534,29818,503,28001,60,32323,26982,14499,30004,366,529,26159,502,28290,28000,489,368,27643,412,173,32327,64,503,26815,28546,65,64,32326,29823,32326,32639,28000,39371,33828,14484,14490,65,26948,428,28003,64,33845,57,179,35689,32569,26818,35690,28001,346,39826,27643,33227,130426,27546,359,28290,28276,65,32959,368,28286,33560,39233,27041,296,296,539,29816,29772,32597,33571,502,294,26179,27659,64,27995,14490,56,36109,368,56,33565,616,28434,294,28546,28101
MD_6_G10,14488,49,1,1,27635,365,56,0,26166,32316,48,28400,28279,27997,27295,494,1281,494,1,162,28278,339,39581,38960,28541,33737,162,32560,29881,27003,1,28244,494,14463,495,495,33835,33841,32559,32950,28653,28550,33836,33817,29769,400,33841,26938,28659,31958,28547,48,32314,38949,27762,33852,33746,28541,140,35681,28498,177,50,290,114,5,5,26990,38949,520,360,48,1,28282,28538,26214,27639,27997,2,28080,366,1,38960,38826,28278,39463,29807,27147,39900,27542,39000,28403,475,39818,30059,8545,28244,27154,27993,28468,160,0,526,29808,495,27993,4,32315,26974,14490,29996,358,521,26151,494,28282,27992,481,360,27635,404,117,32319,48,495,26805,28538,49,30,32318,29813,32318,32629,27992,39363,33820,14475,14481,49,26939,420,27995,48,33837,1,163,35681,32559,26808,35682,27993,338,39818,27635,33219,130417,27536,351,28282,28268,57,32951,360,28278,33552,39225,27033,288,288,531,29806,29762,32587,33563,494,286,26171,27649,28,27987,14481,0,36101,360,0,33557,608,28422,286,28538,28094
SIML_2019_06,26056,26173,26166,26166,27747,26105,26174,26166,0,32897,26172,28466,28884,28779,27705,26413,27428,26413,26167,26276,28883,26083,39389,39637,29186,34104,26286,32980,29501,27812,26167,28845,26413,26041,26414,26414,34206,34212,32979,33029,29299,29193,34207,34198,29419,26137,34212,27769,29304,32701,29192,26162,32895,39298,26817,34223,33723,29185,26285,35517,28561,26295,26174,26182,26280,26171,26171,27801,39298,26217,26103,26172,26167,28887,29183,26753,27751,28769,26168,28121,26106,26167,39309,39151,28883,39719,29429,27956,39735,28047,39358,28469,26219,39825,29827,26224,28845,27963,28775,28529,26189,26166,26223,29430,26414,28775,26170,32896,28234,26058,30410,26101,26218,25735,26413,28890,28766,26220,26103,27747,26101,26283,32900,26172,26414,26946,29183,26173,26173,32899,29435,32899,33046,28774,39029,34201,26043,26048,26173,27770,26117,28778,26172,34208,26167,26287,35517,32979,26949,35518,28775,26082,39825,27747,33791,130620,27793,26093,28887,28873,26171,33030,26104,28883,33913,39170,27842,26180,26180,26228,29428,29412,33008,33924,26413,26178,25760,27906,26174,28769,26048,26166,35944,26103,26166,33918,26527,28492,26178,29183,28374
ISLHD_2018_17_S106,32140,32324,32317,32317,32734,32259,32324,32316,32897,0,32323,34092,32627,32170,33923,32563,33582,32563,32317,32426,32626,32234,37992,37131,32766,31701,32437,28940,31148,32553,32317,32595,32563,32127,32564,32564,30469,30477,28939,29645,32877,32773,30472,30463,31123,32282,30477,33401,32886,15679,32772,32312,6,37111,33427,30488,30859,32765,32434,35963,34192,32443,32325,32330,32430,32321,32319,32544,37111,32373,32255,32323,32317,32628,32763,33124,32738,32160,32318,32844,32260,32317,37123,36789,32626,37632,31073,32693,37355,32668,37174,34095,32368,37458,34182,32399,32595,32700,32166,34160,32337,32316,32379,31074,32564,32166,32320,9,32642,32142,33417,32253,32372,32419,32563,32633,32171,32372,32255,32734,32257,32433,11,32323,32564,32737,32763,32324,32324,10,31079,10,29009,32165,37447,30466,32129,32133,32324,33402,32273,32169,32323,30473,32317,32438,35963,28939,32740,35964,32166,32233,37458,32734,30832,130492,33058,32248,32628,32616,32321,29646,32254,32626,31510,37481,32579,32328,32330,32384,31072,31116,28968,31523,32563,32326,32443,33171,32324,32168,32133,32316,36377,32253,32316,31515,32677,34118,32326,32763,33373
