FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ERR2023110.fasta	contig00012	759	1055	-	AE006471.2	32821-33116/93933	....=.../......	2/3	0.31	77.52	pSLT		AE006471.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT complete sequence	
ERR2023110.fasta	contig00016	1	3706	-	AE006471.2	1-3707/93933	=......./......	1/1	3.95	99.95	pSLT		AE006471.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT complete sequence	
ERR2023110.fasta	contig00016	3707	11384	-	AE006471.2	86256-93933/93933	.............==	0/0	8.17	100.00	pSLT		AE006471.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT complete sequence	
ERR2023110.fasta	contig00016	11366	91770	-	AE006471.2	5802-86193/93933	========/=====.	4/17	85.58	99.96	pSLT		AE006471.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT complete sequence	
ERR2023110.fasta	contig00057	1	1740	+	AE006471.2	3885-5624/93933	=..............	0/0	1.85	100.00	pSLT		AE006471.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT complete sequence	
ERR2173667.fasta	contig00004	304271	304554	-	AE006471.2	32820-33116/93933	....=.../......	6/19	0.30	76.33	pSLT		AE006471.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT complete sequence	
ERR2173667.fasta	contig00012	1629	2079	-	AE006471.2	32820-33270/93933	....=.../......	5/10	0.47	76.32	pSLT		AE006471.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT complete sequence	
ERR2193140.fasta	contig00003	74787	75070	-	AE006471.2	32820-33116/93933	....=.../......	6/19	0.30	76.33	pSLT		AE006471.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT complete sequence	
ERR2193140.fasta	contig00007	1629	2079	-	AE006471.2	32820-33270/93933	....=.../......	5/10	0.47	76.32	pSLT		AE006471.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT complete sequence	
ERR2215165.fasta	contig00010	759	1055	-	AE006471.2	32821-33116/93933	....=.../......	2/3	0.31	77.52	pSLT		AE006471.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT complete sequence	
