snp-dists 0.6.3,MD_6_D12,MD_7_A3,MD_7_F2,MD_7_G1,SIML_2017_11
MD_6_D12,0,31,50,21,244
MD_7_A3,31,0,31,26,245
MD_7_F2,50,31,0,29,222
MD_7_G1,21,26,29,0,229
SIML_2017_11,244,245,222,229,0
