#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_10_S81.fasta	contig00001	221086	221799	-	KU578032.1	2608-3318/143812	=......./......	3/5	0.49	89.51	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00001	221800	222026	-	KU578032.1	1931-2157/143812	=..............	0/0	0.16	82.82	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00001	783265	783425	-	KU578032.1	141901-142061/143812	..............=	0/0	0.11	75.78	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00002	550429	550694	-	KU578032.1	68197-68461/143812	......=./......	1/1	0.18	81.95	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00002	679978	681110	-	KU578032.1	11504-12636/143812	.=.............	0/0	0.79	77.94	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00002	688869	689050	-	KU578032.1	137931-138111/143812	......../.....=	1/1	0.13	82.42	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00002	689050	689416	+	KU578032.1	136036-136401/143812	......../.....=	1/1	0.25	77.11	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00002	689430	689514	+	KU578032.1	137728-137812/143812	..............=	0/0	0.06	89.41	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00003	169797	170163	+	KU578032.1	136036-136401/143812	......../.....=	1/1	0.25	76.84	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00003	170187	170261	+	KU578032.1	137738-137812/143812	..............=	0/0	0.05	92.00	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00004	56490	56652	+	KU578032.1	127455-127621/143812	......../....=.	2/6	0.11	76.19	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00006	3	104	+	KU578032.1	30428-30529/143812	...=...........	0/0	0.07	97.06	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00008	168913	169031	+	KU578032.1	120-240/143812	=......./......	2/2	0.08	93.39	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00010	160271	160378	+	KU578032.1	133-240/143812	=..............	0/0	0.08	94.44	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00013	121946	122039	+	KU578032.1	68197-68290/143812	.......=.......	0/0	0.07	89.36	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00013	122044	122398	+	KU578032.1	68681-69035/143812	.......=.......	0/0	0.25	79.44	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00013	122407	122489	+	KU578032.1	69378-69459/143812	......=./......	1/1	0.06	90.36	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00014	3	103	+	KU578032.1	30428-30528/143812	...=...........	0/0	0.07	97.03	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00035	1	339	+	KU578032.1	138-476/143812	=..............	0/0	0.24	90.27	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_10_S81.fasta	contig00035	603	713	+	KU578032.1	30418-30528/143812	...=...........	0/0	0.08	96.40	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ISLHD_2017_11_S82.fasta	contig00002	1	84	+	KU578032.1	30445-30528/143812	...=...........	0/0	0.06	97.62	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00002	266727	266813	+	KU578032.1	133-219/143812	=..............	0/0	0.06	94.25	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00003	1	87	+	KU578032.1	30442-30528/143812	...=...........	0/0	0.06	97.70	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00003	36583	36809	+	KU578032.1	1931-2157/143812	=......./......	2/2	0.16	84.65	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00003	36810	37363	+	KU578032.1	2608-3161/143812	=..............	0/0	0.39	90.25	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00003	37365	37458	+	KU578032.1	3220-3318/143812	=......./......	2/5	0.07	86.87	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00004	260441	260531	-	KU578032.1	30444-30534/143812	...=...........	0/0	0.06	96.70	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00008	1	90	+	KU578032.1	30442-30531/143812	...=...........	0/0	0.06	96.67	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00008	191517	191603	+	KU578032.1	134-220/143812	=..............	0/0	0.06	94.25	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00009	1	95	-	KU578032.1	129-224/143812	=......./......	1/1	0.07	93.75	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00010	1	85	+	KU578032.1	30445-30529/143812	...=...........	0/0	0.06	97.65	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00011	1	93	-	KU578032.1	129-220/143812	=......./......	1/1	0.06	93.55	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00013	1	85	-	KU578032.1	133-217/143812	=..............	0/0	0.06	94.12	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00015	1	86	-	KU578032.1	134-219/143812	=..............	0/0	0.06	94.19	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00018	1	88	+	KU578032.1	30442-30529/143812	...=...........	0/0	0.06	97.73	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00020	1	86	+	KU578032.1	30443-30528/143812	...=...........	0/0	0.06	97.67	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00022	77241	77327	-	KU578032.1	30443-30529/143812	...=...........	0/0	0.06	97.70	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00023	1	606	-	KU578032.1	68197-68801/143812	......=./......	3/3	0.42	82.04	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00023	4552	4624	-	KU578032.1	137740-137812/143812	..............=	0/0	0.05	91.78	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00023	4650	5014	-	KU578032.1	136038-136401/143812	......../.....=	1/1	0.25	76.16	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00024	1	88	-	KU578032.1	132-219/143812	=..............	0/0	0.06	94.32	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00024	3614	3774	-	KU578032.1	141901-142061/143812	..............=	0/0	0.11	75.78	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00026	1	87	+	KU578032.1	30443-30529/143812	...=...........	0/0	0.06	97.70	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
ISLHD_2017_11_S82.fasta	contig00027	1	86	+	KU578032.1	30444-30529/143812	...=...........	0/0	0.06	97.67	pCERC4		KU578032.1 Escherichia coli plasmid pCERC4 complete sequence	
